ANO;CAMPOS DE ATUAÇÃO;PRÁTICAS DE LINGUAGEM;OBJETOS DE CONHECIMENTO;OBJETOS ESPECÍFICOS;HABILIDADES;RELAÇÃO DENTRO DO PRÓPRIO COMPONENTE;RELAÇÃO ENTRE COMPONENTES;COMPETÊNCIAS ESPECÍFICAS
1º;TODOS OS CAMPOS DE ATUAÇÃO;Leitura compar- tilhada;Conhecimento das múltiplas linguagens.;Identificação das múltiplas linguagens que fazem parte do cotidiano da criança.;(CEEF01LP01) Identificar as múl- tiplas linguagens que fazem parte do cotidiano da criança.;;;Reconhecer o texto como lugar de manifes- tação e negociação de sentidos, valores e ideologias.
1º;TODOS OS CAMPOS DE ATUAÇÃO;Leitura/escuta (compartilhada e autônoma);Protocolos de leitura;Ordenação da sequência canônica da leitura e da escrita.;(EF01LP01) Reconhecer que textos são lidos e escritos da esquerda para a direita e de cima para baixo da página.;;(EFO1MA08);Apropriar-se da linguagem escrita, reconhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
1º;TODOS OS CAMPOS DE ATUAÇÃO;Escrita (compartilhada e autônoma);Correspondência fonema-grafema;Compreensão da correspondência fonema-grafema.;(EF01LP02) Escrever, espontanea- mente ou por ditado, palavras e frases de forma alfabética – usando letras/grafemas que representem fonemas.;EF01LP07 EF01LP08 EF02LP03 EF03LP01;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
1º;TODOS OS CAMPOS DE ATUAÇÃO;Escrita (compartilhada e autônoma);Construção do sistema alfabético/ Convenções da escrita;Compreensão do sistema alfabético na leitura e produção de textos;(EF01LP03) Observar escritas convencionais, comparando-as às suas produções escritas, perceben- do semelhanças e diferenças.;EF01LP05 EF01LP06 EF01LP07 EF01LP08 EF01LP09 EF01LP13 EF012LP03 EF02LP02 EF02LP03 EF02LP04 EF02LP05 EF03LP02 EF03LP03 EF03LP06 EF03LP07 EF035LP12 EF35LP13 EF04LP01 EF04LP02 EF05LP01;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
1º;TODOS OS CAMPOS DE ATUAÇÃO;Análise linguís- tica/semiótica (Alfabetização);"Conhecimento do alfabeto do
português do Brasil";Reconhecimento e distinção dos sinais gráficos que compõem o alfabeto do português do Brasil;(EF01LP04) Distinguir as letras do alfabeto de outros sinais gráficos.;EF01LP04 EF01LP07 EF01LP10 EF01LP11 EF01LP14 EF02LP01 EF02LP03 EF02LP06;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
1º;TODOS OS CAMPOS DE ATUAÇÃO;Análise linguís- tica/semiótica (Alfabetização);Construção do sistema alfabético;Representação dos sons da fala no sistema da escrita alfabética;(EF01LP05) Reconhecer o sistema de escrita alfabética como repre- sentação dos sons da fala.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
1º;TODOS OS CAMPOS DE ATUAÇÃO;Análise linguís- tica/semiótica (Alfabetização);Construção do sistema alfabético e da ortografia;Segmentação das sílabas;(EF01LP06) Segmentar oralmente palavras em sílabas.;EF01LP08 EF01LP09 EF01LP12 EF01LP13 EF02LP02 EF02LP04 EF02LP08 EF03LP01 EF03LP02 EF03LP05 EF03LP06 EF04LP02;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
1º;TODOS OS CAMPOS DE ATUAÇÃO;Análise linguís- tica/semiótica (Alfabetização);Construção do sistema alfabético e da ortografia;Identificação da correspondência fonema - grafema.;(EF01LP07) Identificar fonemas e sua representação por letras.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
1º;TODOS OS CAMPOS DE ATUAÇÃO;Análise linguís- tica/semiótica (Alfabetização);Construção do sistema alfabético e da ortografia;Reconhecimento dos elementos constituintes da palavra;(EF01LP08) Relacionar elementos sonoros (sílabas, fonemas, partes de palavras) com sua representação escrita.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
1º;TODOS OS CAMPOS DE ATUAÇÃO;Análise linguís- tica/semiótica (Alfabetização);"Conhecimento do alfabeto do
português do Brasil";Identificação dos componentes sonoros da palavra;(EF01LP09) Comparar palavras, identificando semelhanças e diferenças entre sons de sílabas iniciais, mediais e finais.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
1º;TODOS OS CAMPOS DE ATUAÇÃO;Análise linguís- tica/semiótica (Alfabetização);"Conhecimento do alfabeto do
português do Brasil";Reconhecimento linear das letras do alfabeto;(EF01LP10) Nomear as letras do alfabeto e recitá-lo na ordem das letras.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
1º;TODOS OS CAMPOS DE ATUAÇÃO;Análise linguís- tica/semiótica (Alfabetização);Conhecimento das diversas grafias  do alfabeto/ Acentuação;Reconhecimento das diferentes tipografias das letras do alfabeto;(EF01LP11) Conhecer, diferenciar e relacionar letras em tipografia imprensa e cursiva, maiúsculas e minúsculas.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
1º;TODOS OS CAMPOS DE ATUAÇÃO;Análise linguís- tica/semiótica (Alfabetização);"Segmentação de palavras/ Classificação de palavras por
número de sílabas";Compreensão do branco entre as palavras;(EF01LP12) Reconhecer a sepa- ração das palavras, na escrita, por espaços em branco.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
1º;TODOS OS CAMPOS DE ATUAÇÃO;Análise linguís- tica/semiótica (Alfabetização);Construção do sistema alfabético;Identificação dos componentes sonoros da palavra;(EF01LP13) Comparar palavras, identificando semelhanças e diferenças entre sons de sílabas iniciais, mediais e finais.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
1º;TODOS OS CAMPOS DE ATUAÇÃO;Análise linguís- tica/semiótica (Alfabetização);Pontuação;Identificação dos sinais no texto além das letras, como pontos finais, de interrogação e exclamação e seus efeitos na entonação.;"(EF01LP14) Identificar outros sinais no texto além das letras, como pontos finais, de interrogação
e exclamação e seus efeitos na entonação.";EF15LP06 EF35LP07 EF04LP05 EF05LP04 EF05LP26;(EFO1MA 01);Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
