ANO;UNIDADES TEMÁTICAS;OBJETOS DE CONHECIMENTO;OBJETOS ESPECÍFICOS;HABILIDADES;RELAÇÃO INTRACOMPONENTE;RELAÇÃO INTERCOMPONENTE;COMPETÊNCIAS ESPECÍFICAS
1º;Números;"Contagem de rotina Contagem ascendente e descendente Reconheci- mento de números
no contexto diário: indicação de quantida- des, indicação de ordem ou indicação de código para a organização de informações";"Reconhecimento do uso social dos números, considerando diversos contextos; Conhecimento da notação de algarismos para utilização em diversos contextos; Realização de contagem oral  e escrita da sequência numérica de 1 em 1 a partir de 1; Realização de contagem oral e escrita da sequência numérica de 1 em 1 a partir de determinado número; Realização de contagem oral de 10 em 10, até 100; Compreensão do papel do algarismo zero na contagem;";(EF01MA01) Utilizar números naturais como indicador de quantidade ou de ordem em diferentes situações cotidianas e reconhecer situações em que os números não indicam contagem nem ordem, mas sim código de identificação.;(EF01MA02) (EF01MA03) (EF01MA04) (EF01MA05) (EF01MA09);(EF01HI01) (EF01LP01) (EF01LP14);Reconhecer que a Matemática é uma ciência humana, fruto das necessidades e preocupações de diferentes culturas, em diferentes momentos históricos, e é uma ciência viva, que está presente no cotidiano e contribui para solucio- nar diferentes problemas
1º;Números;Quantificação de ele- mentos de uma coleção: estimativas, contagem um a um, pareamento ou outros agrupamentos e comparação;"Realização de contagem de objetos de um grupo estabelecendo correspondência entre o objeto contado e o nome do número, mantendo a sequência dos nomes numéricos e contando
todos os objetos sem omitir nenhum; Registro do número de objetos obtidos em uma contagem; Utilização de ábaco, fichas ou outro material con- creto para auxiliar contagens ou agrupamentos;";(EF01MA02) Contar de maneira exata ou aproximada, utilizando diferentes estratégias como o pareamento e outros agrupamentos.;(EF01MA01) (EF01MA03) (EF01MA04) (EF01MA05) (EF01MA09);(EF35EF10);Fazer observações sistemáticas de aspectos quantitativos e qualitati- vos presentes nas práticas sociais  e culturais, de modo a investigar, organizar, representar e comunicar informações relevantes, para interpretá-las e avaliá-las crítica e eticamente, produzindo argumen- tos convincentes.
1º;Números;Quantificação de ele- mentos de uma coleção: estimativas, contagem um a um, pareamento ou outros agrupamentos e comparação;"Comparar grupos de objetos utilizando diferentes estratégias para quantificá-los (correspondência, estimativa); Complementar um grupo de objetos para que fique com a mesma quantidade que outro determinado;";(EF01MA03) Estimar e comparar quanti- dades de objetos de dois conjuntos (em torno de 20 elementos), por estimativa e/ ou por correspondência (um a um, dois a dois) para indicar “tem mais”, “tem menos” ou “tem a mesma quantidade”.;(EF01MA01) (EF01MA02) (EF01MA04) (EF01MA05) (EF01MA09);;Fazer observações sistemáticas de aspectos quantitativos e qualitati- vos presentes nas práticas sociais  e culturais, de modo a investigar, organizar, representar e comunicar informações relevantes, para interpretá-las e avaliá-las crítica e eticamente, produzindo argumen- tos convincentes.
1º;Números;Leitura, escrita e com- paração de números naturais (até 100) Reta numérica;"Identificação dos símbolos utilizados para codificar números de zero a nove; Escrita correta dos algarismos; Escrita dos números até 100 observando a regularidade da sequência numé- rica; Leitura dos números até 100 observando a regularidade da sequência numérica;";"(EF01MA04) Contar a quantidade de objetos de coleções até 100 unidades e apresentar o resultado por registros verbais e simbólicos, em situações de
seu interesse, como jogos, brincadeiras, materiais da sala de aula, entre outros.";(EF01MA10) (EF01MA01) (EF01MA02) (EF01MA04) (EF01MA03);;Fazer observações sistemáticas de aspectos quantitativos e qualitati- vos presentes nas práticas sociais  e culturais, de modo a investigar, organizar, representar e comunicar informações relevantes, para interpretá-las e avaliá-las crítica e eticamente, produzindo argumen- tos convincentes.
1º;Números;Leitura, escrita e com- paração de números naturais (até 100) Reta numérica;"Inserção de um grupo entre outros organizados por ordem numérica; Determinação de número que vem logo após outro ou imediatamente antes do outro (antecessor e sucessor);";(EF01MA05) Comparar números naturais de até duas ordens em situações cotidia- nas, com e sem suporte da reta numérica.;(EF01MA10) (EF01MA01) (EF01MA02) (EF01MA03) (EF01MA04) (EF01MA09);;Fazer observações sistemáticas de aspectos quantitativos e qualitati- vos presentes nas práticas sociais  e culturais, de modo a investigar, organizar, representar e comunicar informações relevantes, para interpretá-las e avaliá-las crítica e eticamente, produzindo argumen- tos convincentes.
1º;Números;"Construção de fatos básicos da adição e da subtração: Significados da adição (reunir e acres- centar); e Significados
da subtração (separar, retirar)";"Demonstração, com uso de materiais, que dois ou mais grupos de objetos podem ser reunidos, pas- sando a constituir um grupo maior; Demonstrar, com uso de materiais, que um ou mais objetos podem ser acrescentados a outro grupo tendo como resultado um grupo maior; Demonstração, com uso de materiais, que é possível retirar um grupo de objetos de outro grupo, desde que este seja igual ou maior; Comparação de dois grupos de objetos para descobrir a diferença numérica entre eles, ou seja, quanto um possui a mais ou
a menos; Indicar quantos objetos faltam a um grupo para que este tenha uma determinada quantidade; Utilização de estimativa ao trabalhar com quantidades; Realização de cálculos utili- zando estratégias próprias;  Representação da adição por modelos concretos (agrupamentos) ou modelos geométricos (reta numérica); Desenvol- vimento do cálculo mental";(EF01MA06) Construir fatos básicos  da adição e subtração utilizá-los em procedimentos de cálculo para resolver problemas.;(EF01MA06A) (EF01MA07) (EF01MA06) (EF01MA08) (EF01MA19);(EF01LP01);"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
1º;Números;Composição e decom- posição de números naturais;"Contagem de objetos reunindo-os em grupos de dez; Realização de agrupamentos de dez deter- minando o número de grupos; Conhecimento dos conceitos de quantidades numéricas (dúzia, meia dúzia, dezena e meia dezena).";(EF01MA07) Compor e decompor número de até duas ordens, por meio de diferen- tes adições, com o suporte de material manipulável, contribuindo para a com- preensão de características do sistema de numeração decimal e o desenvolvimento de estratégias de cálculo.;(EF01MA06) (EF01MA08);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
1º;Números;Problemas envolvendo diferentes significados da adição e da subtração (juntar, acrescentar, separar, retirar);"Resolução de problemas envolvendo diferentes significados da adição e da subtração utilizando estratégias próprias; Descrição do processo de resolução dos problemas resolvidos; Elaboração de problemas envolvendo diferentes significados da adição e da subtração";(EF01MA08) Resolver e elaborar proble- mas de adição e de subtração, envolvendo números de até dois algarismos, com os significados de juntar, acrescentar, separar e retirar, com o suporte de imagens e/ou material manipulável, utilizando estraté- gias e formas de registro pessoais.;(EF01MA05) (EF01MA06) (EF01MA07) (EF01MA19);(EF12EF03) (EF01LP16) (EF01LP17);"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados)."
1º;Álgebra;Padrões figurais e nu- méricos: investigação de regularidades ou padrões em sequências;"Classificação de objetos mediante um atributo comum, como cor, forma e tamanho; Explicita- ção de critérios de classificação utilizados num agrupamento; Seriação de objetos de acordo com critério determinado;";(EF01MA09) Organizar e ordenar objetos familiares ou representações por figuras, por meio de atributos, tais como cor, forma e medida.;(EF01MA01) (EF01MA02) (EF01MA03) (EF01MA05) (EF01MA13) (EF01MA14);(EF01LP15) (EF15AR23);"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
1º;Álgebra;"Sequências recursivas: observação de regras usadas utilizadas em seriações numéricas (mais 1, mais 2,
menos 1, menos 2, por exemplo)";"Inserção de objeto em um grupo em que os objetos estão seriados; Reconhecimento de regu- laridades em sequências numéricas; Completação de sequência numérica com intervalo igual a 1; Conceituação de números pares e ímpares, com base em suas características.";(EF01MA10) Descrever, após o reconheci- mento e a explicitação de um padrão (ou regularidade), os elementos ausentes em sequências recursivas de números naturais, objetos ou figuras.;(EF01MA04) (EF01MA05) (EF01MA13) (EF01MA14);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
