Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 45 (%);H 46 (%);H 47 (%);H 49 (%);H 50 (%);H 51 (%);H 52 (%)
ABAIARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;116;113;97%;7%;42%;50%;78%;83;79;54;68;96;79;86
ACARAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;203;155;76%;19%;50%;30%;73%;80;70;46;71;91;80;75
ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;945;876;93%;12%;44%;43%;79%;85;76;63;72;94;86;76
ACOPIARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;353;49;14%;43%;45%;12%;61%;69;52;34;56;87;52;70
AIUABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;120;0;0%;0%;0%;0%;0%;;;;;;;
ALCANTARAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;173;144;83%;7%;44%;48%;77%;91;75;30;71;95;82;81
ALTO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;192;185;96%;15%;46%;38%;72%;82;76;48;60;87;78;76
ANTONINA DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;79;79;100%;25%;59%;15%;64%;76;71;47;56;74;74;51
AQUIRAZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1211;1021;84%;12%;33%;55%;78%;86;79;46;74;92;82;83
ARACATI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;883;735;83%;16%;46%;39%;74%;80;74;47;68;89;81;80
ARACOIABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;350;296;85%;23%;32%;44%;72%;75;70;56;69;82;77;74
ARARENDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;149;142;95%;10%;61%;30%;79%;77;76;82;75;82;81;79
ARARIPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;369;283;77%;26%;49%;24%;66%;75;67;33;55;87;75;73
ARATUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;207;164;79%;8%;35%;57%;82%;84;79;56;80;94;90;88
ARNEIROZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;92;80;87%;19%;36%;45%;75%;77;66;56;75;89;80;81
ASSARE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;317;274;86%;22%;38%;39%;73%;79;68;54;68;88;79;78
AURORA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;228;0;0%;0%;0%;0%;0%;;;;;;;
BAIXIO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;87;64;74%;2%;17%;81%;86%;88;86;63;88;95;89;89
BANABUIU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;257;155;60%;9%;43%;48%;77%;81;80;45;77;91;81;87
BARBALHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1;0;0%;0%;0%;0%;0%;;;;;;;
BARREIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;301;288;96%;19%;45%;36%;72%;80;67;46;67;92;70;81
BARRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;245;203;83%;20%;39%;40%;75%;80;70;50;70;89;78;84
BARROQUINHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;267;232;87%;23%;46%;31%;69%;80;65;36;63;87;73;78
BATURITE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;353;306;87%;25%;47%;28%;69%;79;67;41;60;89;72;74
BELA CRUZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;297;0;0%;0%;0%;0%;0%;;;;;;;
BOA VIAGEM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;868;557;64%;13%;41%;46%;79%;83;72;63;75;94;85;82
BREJO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;576;527;91%;19%;43%;38%;74%;80;68;45;72;93;78;78
CAMOCIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;953;676;71%;15%;45%;39%;72%;85;77;29;66;93;77;70
CAMPOS SALES;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;329;278;84%;35%;42%;23%;62%;68;57;33;59;77;65;70
CANINDE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1002;84;8%;43%;42%;15%;55%;61;56;22;53;69;58;62
CAPISTRANO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;214;181;85%;25%;43%;33%;73%;80;68;57;71;90;77;72
CARIRE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;234;224;96%;15%;37%;49%;80%;87;76;59;73;94;83;84
CARIRIACU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;179;0;0%;0%;0%;0%;0%;;;;;;;
CARIUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;205;194;95%;11%;32%;56%;82%;87;77;66;76;95;88;87
CARNAUBAL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;289;260;90%;17%;51%;32%;71%;82;64;40;64;89;77;81
CASCAVEL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;831;67;8%;12%;43%;45%;76%;82;69;47;79;91;86;78
CATARINA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;140;0;0%;0%;0%;0%;0%;;;;;;;
CATUNDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;176;106;60%;12%;35%;53%;81%;89;82;62;72;89;88;80
CAUCAIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;12;1;8%;100%;0%;0%;18%;33;50;0;25;0;0;0
CEDRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;196;180;92%;7%;29%;64%;85%;91;84;74;75;95;89;86
CHAVAL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;215;187;87%;18%;47%;35%;70%;78;69;30;68;92;72;78
CHORO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;205;18;9%;6%;33%;61%;82%;76;81;49;82;91;96;87
CRATEUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;772;671;87%;16%;31%;53%;79%;85;74;67;76;89;82;82
CRATO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1347;846;63%;15%;45%;40%;75%;81;73;59;70;88;80;77
CROATA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;231;209;90%;13%;37%;50%;76%;86;76;40;74;92;78;82
DEPUTADO IRAPUAN PINHEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;98;0;0%;0%;0%;0%;0%;;;;;;;
ERERE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;101;12;12%;0%;42%;58%;81%;100;83;49;83;95;71;84
EUSEBIO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1008;870;86%;8%;29%;63%;84%;90;81;67;81;95;88;87
FARIAS BRITO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;234;215;92%;15%;47%;38%;73%;87;73;38;65;88;81;78
FORQUILHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;312;245;79%;36%;24%;41%;65%;65;66;43;63;81;69;73
FORTALEZA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;165;0;0%;0%;0%;0%;0%;;;;;;;
