Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 08 (%);H 09 (%);H 12 (%);H 14 (%);H 17 (%);H 19 (%);H 20 (%);H 21 (%);H 22 (%);H 26 (%);H 29 (%)
ABAIARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;115;113;98%;20%;36%;43%;73%;92;92;48;81;49;72;54;74;56;89;74
ACARAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;230;157;68%;34%;34%;32%;64%;86;86;62;68;43;65;41;54;60;88;62
ACARAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;953;864;91%;23%;27%;50%;74%;93;93;65;80;64;71;35;43;63;91;77
ACOPIARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;360;51;14%;29%;37%;33%;69%;94;61;64;74;44;77;45;73;54;94;73
AIUABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;109;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ALCANTARAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;183;161;88%;7%;22%;71%;86%;96;94;61;93;73;85;73;90;55;96;94
ALTANEIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;103;95;92%;24%;19%;57%;74%;99;90;77;76;59;73;46;67;69;91;79
ALTO SANTO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;222;201;91%;36%;29%;35%;67%;89;80;57;73;52;43;48;62;60;85;71
ANTONINA DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;82;78;95%;26%;29%;45%;73%;88;92;64;80;60;71;63;71;47;90;78
AQUIRAZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1338;1225;92%;23%;29%;48%;73%;84;85;65;78;55;72;59;71;61;89;77
ARACATI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;979;803;82%;24%;28%;48%;72%;88;87;64;77;53;71;54;69;63;89;73
ARACOIABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;335;308;92%;32%;26%;42%;69%;83;83;59;75;54;66;53;71;50;77;74
ARARENDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;166;150;90%;11%;37%;51%;75%;81;88;54;86;67;78;65;89;39;84;86
ARARIPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;384;320;83%;34%;32%;34%;65%;89;89;57;68;46;63;40;59;57;86;66
ARATUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;195;184;94%;30%;32%;38%;67%;87;85;61;73;49;67;40;69;59;84;67
ARNEIROZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;99;96;97%;31%;27%;42%;66%;86;79;63;73;55;58;44;60;61;90;70
