Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 60 (%);H 61 (%);H 63 (%);H 64 (%);H 65 (%);H 66 (%);H 67 (%);H 68 (%);H 69 (%);H 71 (%);H 76 (%);H 77 (%)
ABAIARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;115;112;97%;31%;51%;18%;56%;70;33;46;26;70;72;56;;69;49;47;84
ACARAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;230;158;69%;46%;29%;25%;56%;67;37;57;29;64;61;49;51;61;54;37;76
ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;953;901;95%;23%;41%;36%;64%;80;36;56;33;77;79;61;62;67;55;52;88
ACOPIARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;360;51;14%;25%;51%;24%;60%;72;37;63;19;76;75;63;48;67;60;42;83
AIUABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;109;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
ALCANTARAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;183;162;89%;11%;43%;46%;71%;88;56;64;31;89;88;68;80;83;54;56;96
ALTANEIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;103;87;84%;13%;38%;49%;75%;85;76;79;60;85;88;76;67;71;62;53;93
ALTO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;222;200;90%;38%;42%;21%;55%;70;35;43;35;69;64;59;55;59;50;47;87
ANTONINA DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;82;76;93%;25%;45%;30%;64%;71;62;66;22;83;76;67;66;65;60;45;88
AQUIRAZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1336;1204;90%;31%;44%;25%;59%;79;44;52;30;75;72;57;57;62;50;44;86
