Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 09 (%);H 17 (%);H 22 (%);H 23 (%);H 24 (%);H 25 (%);H 26 (%);H 27 (%);H 28 (%);H 30 (%);H 31 (%);H 36 (%);H 38 (%)
ACARAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;215;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
ACARAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;931;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
ACOPIARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;128;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
ALCANTARAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;171;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
ALTANEIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;16;15;94%;0%;20%;80%;76%;93;89;93;87;40;70;77;67;100;80;60;73;93
ALTO SANTO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;66;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
ANTONINA DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;87;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
ARACATI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;866;605;70%;28%;25%;47%;59%;85;63;71;64;35;52;78;60;65;52;45;52;62
ARACOIABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;288;270;94%;28%;29%;43%;59%;84;67;67;68;31;49;80;53;67;54;46;51;63
ARARENDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;157;155;99%;1%;3%;96%;82%;87;85;94;90;;91;88;81;81;86;58;85;93
ARARIPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;322;17;5%;24%;35%;41%;59%;97;71;76;50;;59;71;44;41;53;41;53;59
ARATUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;235;185;79%;18%;21%;61%;64%;90;72;76;66;45;55;82;61;73;51;53;68;60
ARNEIROZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;15;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
ASSARE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;226;7;3%;100%;0%;0%;29%;57;10;;71;36;29;50;24;14;10;43;14;43
AURORA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;220;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
BARRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;206;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
BARROQUINHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;352;238;68%;27%;24%;50%;59%;87;72;77;61;31;46;75;51;71;54;46;54;58
BATURITE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;439;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
BELA CRUZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;214;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
BOA VIAGEM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;25;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
BREJO SANTO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;386;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
CAMOCIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;793;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
CAMPOS SALES;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;38;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
CANINDE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;949;72;8%;38%;28%;35%;53%;83;57;66;49;32;46;76;49;53;47;44;45;63
CAPISTRANO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;204;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
CARIRIACU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;135;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
CARNAUBAL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;237;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
CASCAVEL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;733;96;13%;25%;23%;52%;62%;90;70;75;66;36;60;88;51;67;48;52;52;72
CATARINA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;88;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
CATUNDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;135;3;2%;0%;0%;100%;88%;100;100;100;100;67;100;;100;100;67;67;83;100
CAUCAIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;3025;1;0%;100%;0%;0%;36%;0;0;;100;0;0;50;67;100;33;50;0;0
CHAVAL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;179;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
CHORO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;195;3;2%;0%;0%;100%;79%;100;78;83;83;100;100;100;50;100;33;67;33;100
CRATEUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;891;779;87%;20%;25%;55%;63%;89;68;71;72;39;39;83;65;73;53;49;64;63
CRATO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;256;178;70%;21%;25%;54%;62%;88;68;71;66;49;55;79;57;73;48;52;46;67
CROATA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;197;13;7%;23%;0%;77%;69%;100;72;;69;62;23;96;69;69;67;54;85;62
ERERE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;100;20;20%;40%;30%;30%;54%;81;55;68;65;17;80;53;38;66;47;41;54;45
EUSEBIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;976;31;3%;23%;29%;48%;61%;;69;81;77;34;53;77;55;71;52;58;;58
FARIAS BRITO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;18;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
FORQUILHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;307;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
FORTIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;238;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
FRECHEIRINHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;296;276;93%;19%;29%;52%;63%;91;66;77;71;41;49;85;62;67;57;49;59;61
GRANJA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;858;787;92%;19%;22%;59%;63%;87;69;;70;43;37;82;64;75;52;51;67;71
GRANJEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;74;16;22%;25%;19%;56%;56%;81;75;;56;31;50;69;44;59;56;41;63;50
GROAIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;134;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
GUARAMIRANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;79;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
IBARETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;157;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
IBIAPINA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;324;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
ICAPUI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;239;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
ICO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;737;83;11%;28%;30%;42%;57%;78;62;72;60;46;48;77;47;63;49;48;65;58
IGUATU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;87;26;30%;38%;42%;19%;44%;85;40;63;62;25;26;62;44;42;29;29;62;58
INDEPENDENCIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;4;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
IPAPORANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;160;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
IPAUMIRIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;159;130;82%;31%;27%;42%;56%;80;68;64;64;42;55;78;39;61;47;42;50;55
IPUEIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;14;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
IRACEMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;179;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
IRAUCUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;381;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
ITAICABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;111;109;98%;21%;22%;57%;64%;91;69;;67;40;39;87;69;72;58;43;68;62
ITAITINGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;430;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
ITAPAJE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;443;392;88%;26%;27%;47%;58%;84;65;70;64;43;58;78;60;64;49;44;46;56
ITATIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;94;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
JAGUARIBARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;16;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
JAGUARIBE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;510;408;80%;32%;25%;43%;57%;89;60;69;66;31;53;74;56;61;44;48;50;58
JARDIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;394;366;93%;27%;26%;47%;58%;83;66;73;63;47;47;68;48;66;51;48;54;56
JATI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;116;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
JUAZEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;1021;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
JUCAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;364;349;96%;24%;28%;48%;61%;94;67;77;66;31;50;82;56;66;51;47;56;66
LIMOEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;546;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
MADALENA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;244;204;84%;15%;27%;57%;65%;95;76;79;77;47;57;84;60;67;56;46;57;63
MARACANAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;51;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
MARANGUAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;72;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
MARCO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;474;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
MARTINOPOLE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;203;151;74%;17%;23%;61%;68%;91;75;82;75;55;57;80;63;76;64;56;57;66
MASSAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;501;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
MAURITI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;593;479;81%;29%;28%;43%;57%;80;60;71;66;32;50;72;53;58;44;47;52;65
