Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 69 (%);H 71 (%);H 72 (%);H 74 (%);H 75 (%);H 78 (%);H 79 (%);H 80 (%);H 81 (%);H 82 (%);H 84 (%);H 85 (%);H 86 (%);H 87 (%);H 88 (%);H 90 (%);H 91 (%);H 92 (%);H 93 (%)
ACARAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;212;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;797;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
ACOPIARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;53;19;36%;68%;5%;26%;45%;45;26;68;58;63;;45;32;26;58;;26;;;26;39;42;58;32
ALCANTARAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;143;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
ALTANEIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;11;11;100%;0%;18%;82%;70%;73;68;55;100;;91;91;55;100;91;91;59;18;36;55;55;82;;36
ALTO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;82;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
ANTONINA DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;79;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
ARACATI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;884;782;88%;33%;26%;41%;57%;69;43;77;78;74;65;71;31;58;68;51;44;26;32;48;50;76;76;36
ARACOIABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;344;319;93%;45%;25%;30%;49%;64;39;67;67;77;50;73;21;45;55;39;33;23;35;39;42;72;60;43
ARARENDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;129;128;99%;1%;2%;98%;87%;88;95;93;94;;93;90;90;95;83;;96;;;71;87;73;86;86
