Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%)
ABAIARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;119;112;94%;13%;19%;69%;78%;74;86;83;82;94;77;77;54
ACARAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;196;160;82%;9%;14%;76%;83%;78;86;88;90;92;78;77;66
ACARAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;945;0;0%;0%;0%;0%;0%;;;;;;;;
ACOPIARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;509;295;58%;37%;34%;29%;61%;53;63;68;73;79;56;49;45
AIUABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;177;42;24%;40%;50%;10%;55%;44;66;67;80;73;39;48;26
ALCANTARAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;176;145;82%;4%;11%;85%;88%;84;89;97;95;92;87;91;78
ALTO SANTO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;201;174;87%;31%;25%;44%;69%;63;77;81;81;76;60;69;48
ANTONINA DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;78;77;99%;8%;21%;71%;81%;75;85;81;84;93;85;67;72
AQUIRAZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1161;986;85%;15%;25%;61%;77%;71;84;86;88;85;70;69;58
ARACATI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;909;744;82%;18%;28%;53%;73%;65;80;81;85;80;66;67;60
ARACOIABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;334;301;90%;20%;37%;43%;69%;61;77;76;80;82;65;56;52
ARARENDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;143;142;99%;1%;7%;92%;90%;92;86;91;94;90;93;84;88
ARARIPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;373;320;86%;35%;27%;38%;63%;54;67;78;74;76;60;59;49
ARATUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;182;164;90%;5%;15%;79%;83%;76;91;92;93;91;78;80;68
ARNEIROZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;92;0;0%;0%;0%;0%;0%;;;;;;;;
ASSARE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;312;295;95%;13%;20%;67%;80%;72;84;85;82;91;75;76;74
AURORA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;251;197;78%;24%;31%;45%;69%;58;75;71;81;80;62;62;58
BAIXIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;87;78;90%;1%;4%;95%;91%;93;96;91;92;97;93;78;72
BANABUIU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;258;204;79%;15%;18%;67%;77%;70;80;86;85;84;74;77;66
BARBALHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1;0;0%;0%;0%;0%;0%;;;;;;;;
BARREIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;303;272;90%;25%;33%;42%;68%;58;75;80;86;78;60;60;47
BARRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;241;184;76%;20%;29%;51%;72%;64;77;83;85;86;63;64;52
BARROQUINHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;247;230;93%;22%;29%;49%;69%;67;77;82;86;80;55;64;51
BATURITE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;348;26;7%;15%;35%;50%;68%;64;72;81;71;87;57;69;40
BELA CRUZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;358;328;92%;13%;23%;64%;78%;76;88;87;91;84;71;75;62
BOA VIAGEM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;841;0;0%;0%;0%;0%;0%;;;;;;;;
BREJO SANTO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;573;100;17%;30%;41%;29%;61%;47;70;66;76;79;55;48;42
CAMOCIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;933;780;84%;16%;31%;53%;73%;72;82;87;88;78;62;66;59
CAMPOS SALES;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;320;239;75%;26%;22%;52%;70%;64;80;77;76;82;64;68;53
CANINDE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1051;481;46%;20%;25%;55%;72%;63;81;81;88;84;66;65;54
CAPISTRANO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;213;182;85%;10%;26%;64%;78%;74;86;81;88;87;72;72;64
CARIDADE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;237;196;83%;22%;11%;67%;79%;78;88;85;84;84;77;72;63
CARIRE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;228;223;98%;7%;24%;70%;82%;76;84;92;92;93;77;72;69
CARIRIACU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;301;108;36%;26%;32%;42%;68%;60;77;79;79;83;60;61;45
CARIUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;206;195;95%;11%;26%;63%;78%;73;82;89;94;89;65;66;64
CARNAUBAL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;287;264;92%;18%;25%;56%;74%;72;81;84;84;82;63;69;55
CASCAVEL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;831;63;8%;6%;6%;87%;88%;85;91;87;93;97;80;82;89
CATARINA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;157;106;68%;21%;27%;51%;67%;62;77;64;86;83;63;73;45
