Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 56 (%);H 59 (%);H 60 (%);H 61 (%);H 62 (%);H 63 (%);H 64 (%);H 65 (%);H 66 (%);H 67 (%);H 68 (%)
ACARAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;177;164;93%;12%;16%;71%;75%;75;68;83;74;70;79;72;45;83;78;87
ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;882;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ACOPIARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;205;22;11%;45%;45%;9%;46%;82;50;39;48;50;41;35;18;61;23;55
ALCANTARAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;183;149;81%;6%;7%;87%;83%;93;85;87;84;92;83;84;72;93;63;87
ALTANEIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;20;19;95%;5%;47%;47%;70%;84;77;76;72;68;53;67;68;76;37;82
ALTO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;88;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ANTONINA DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;73;0;0%;0%;0%;0%;0%;;;;;;;;;;;
AQUIRAZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;1092;70;6%;100%;0%;0%;16%;6;12;55;2;7;7;34;4;5;4;21
ARACATI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;950;823;87%;11%;29%;60%;72%;79;70;76;74;74;73;61;48;88;52;84
ARACOIABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;332;311;94%;12%;31%;58%;71%;76;68;73;76;68;70;60;49;81;63;86
ARARENDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;158;153;97%;0%;1%;99%;89%;93;62;94;92;91;92;90;93;96;97;95
ARARIPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;339;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ARATUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;200;182;91%;12%;30%;58%;73%;84;78;79;72;67;75;61;50;86;54;83
ARNEIROZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;9;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ASSARE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;200;0;0%;0%;0%;0%;0%;;;;;;;;;;;
AURORA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;199;0;0%;0%;0%;0%;0%;;;;;;;;;;;
BAIXIO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;33;22;67%;5%;0%;95%;88%;86;91;95;95;95;89;62;91;95;91;91
BARRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;199;0;0%;0%;0%;0%;0%;;;;;;;;;;;
BARROQUINHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;273;255;93%;17%;38%;45%;69%;72;60;82;57;81;69;53;62;91;60;82
BATURITE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;405;356;88%;9%;39%;53%;75%;89;85;85;69;78;76;63;51;87;52;81
BELA CRUZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;327;287;88%;4%;18%;77%;82%;89;84;85;77;85;83;66;69;92;85;90
BOA VIAGEM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;37;0;0%;0%;0%;0%;0%;;;;;;;;;;;
BREJO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;555;532;96%;11%;28%;61%;74%;77;70;77;76;77;73;61;56;89;75;84
CAMOCIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;898;739;82%;17%;24%;60%;70%;77;64;72;71;65;73;64;50;84;58;82
CAMPOS SALES;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;37;0;0%;0%;0%;0%;0%;;;;;;;;;;;
CANINDE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;848;0;0%;0%;0%;0%;0%;;;;;;;;;;;
CAPISTRANO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;205;43;21%;100%;0%;0%;15%;9;13;53;2;9;4;33;7;6;0;16
