Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 05 (%);H 09 (%);H 13 (%);H 14 (%);H 18 (%);H 19 (%);H 20 (%);H 21 (%);H 22 (%)
ABAIARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;116;114;98%;22%;33%;45%;69%;95;37;69;83;54;89;64;57;72
ACARAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;229;209;91%;19%;24%;57%;74%;88;53;82;78;65;93;77;51;84
ACARAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;931;0;0%;0%;0%;0%;0%;;;;;;;;;
ACOPIARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;477;354;74%;39%;27%;34%;61%;79;45;62;66;52;76;58;44;69
AIUABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;143;53;37%;36%;32%;32%;65%;88;45;70;69;49;78;64;45;70
ALCANTARAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;185;164;89%;4%;17%;79%;80%;97;46;91;88;71;96;84;57;78
ALTANEIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;108;106;98%;1%;9%;90%;89%;95;61;92;94;100;97;86;91;95
ALTO SANTO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;237;194;82%;20%;32%;48%;71%;96;42;69;91;52;91;65;59;72
ANTONINA DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;79;73;92%;10%;23%;67%;78%;90;60;86;85;65;91;79;62;83
AQUIRAZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1350;1210;90%;25%;24%;51%;71%;88;51;73;78;63;89;73;48;77
ARACATI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1006;815;81%;19%;22%;59%;75%;94;53;78;83;67;91;73;53;80
ARACOIABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;335;317;95%;33%;20%;47%;67%;85;48;71;76;44;73;67;52;74
ARARENDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;153;151;99%;2%;1%;97%;86%;95;68;98;91;91;98;88;63;93
ARARIPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;384;354;92%;39%;31%;31%;63%;89;41;64;73;54;67;65;44;70
ARATUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;196;185;94%;29%;25%;46%;67%;85;51;67;78;57;85;67;43;74
ARNEIROZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;99;0;0%;0%;0%;0%;0%;;;;;;;;;
ASSARE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;297;271;91%;18%;9%;73%;79%;91;66;86;81;79;89;79;64;82
AURORA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;298;248;83%;34%;22%;44%;68%;80;44;76;74;59;85;66;53;75
BAIXIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;54;21;39%;24%;29%;48%;71%;90;48;74;76;67;86;71;54;76
BANABUIU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;267;236;88%;33%;15%;51%;69%;87;45;74;75;66;86;67;51;72
BARREIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;331;320;97%;26%;18%;56%;72%;92;50;76;80;72;88;71;48;79
BARRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;208;65;31%;31%;28%;42%;68%;93;46;70;79;72;83;68;39;68
BARROQUINHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;405;269;66%;29%;27%;44%;69%;87;42;72;79;59;89;67;46;73
BATURITE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;348;16;5%;0%;13%;88%;86%;100;92;96;96;92;100;53;56;91
BELA CRUZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;360;39;11%;15%;23%;62%;76%;92;52;73;89;72;94;68;62;88
BOA VIAGEM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;589;0;0%;0%;0%;0%;0%;;;;;;;;;
BREJO SANTO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;634;120;19%;21%;16%;63%;77%;87;64;79;81;78;87;86;56;85
CAMOCIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;883;756;86%;28%;22%;51%;70%;87;50;76;79;64;79;71;49;79
CAMPOS SALES;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;313;216;69%;26%;29%;45%;66%;88;44;73;73;58;83;61;46;71
CANINDE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1127;817;72%;21%;29%;50%;71%;91;50;73;77;63;87;69;50;75
CAPISTRANO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;215;187;87%;36%;23%;41%;65%;85;47;64;74;60;82;61;44;68
CARIDADE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;219;180;82%;10%;19%;71%;80%;93;56;91;86;85;93;85;50;91
CARIRE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;261;256;98%;10%;16%;74%;80%;95;65;83;82;73;96;83;64;86
CARIRIACU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;339;87;26%;36%;34%;30%;61%;79;43;65;70;57;68;59;47;61
CARIUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;211;194;92%;21%;34%;46%;71%;99;49;73;89;56;92;60;48;73
CARNAUBAL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;322;273;85%;34%;23%;44%;66%;84;47;68;74;59;84;69;43;70
CASCAVEL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;709;76;11%;32%;36%;33%;62%;50;54;69;75;44;89;63;62;65
CATARINA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;146;124;85%;32%;28%;40%;65%;90;59;67;70;50;82;63;49;73
CATUNDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;175;134;77%;39%;14%;47%;65%;81;46;78;67;67;79;61;46;66
CAUCAIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;4444;3675;83%;37%;25%;38%;65%;84;45;69;70;52;82;63;43;70
CEDRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;26;0;0%;0%;0%;0%;0%;;;;;;;;;
CHAVAL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;199;180;90%;31%;26%;44%;68%;94;44;68;77;54;86;68;46;72
CHORO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;218;41;19%;15%;20%;66%;79%;98;67;85;87;80;93;71;47;83
COREAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;9;0;0%;0%;0%;0%;0%;;;;;;;;;
CRATEUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;932;815;87%;28%;24%;48%;69%;82;48;74;77;61;83;71;49;73
CRATO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1361;1208;89%;29%;27%;43%;69%;84;49;72;76;59;85;65;49;74
CROATA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;285;264;93%;19%;21%;59%;73%;92;57;77;79;67;88;62;49;80
DEPUTADO IRAPUAN PINHEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;87;82;94%;6%;21%;73%;79%;98;52;85;88;67;97;68;58;86
ERERE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;120;100;83%;30%;28%;42%;67%;93;42;66;79;59;86;66;41;71
EUSEBIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1195;1066;89%;23%;24%;54%;72%;90;53;78;81;55;88;70;50;77
FARIAS BRITO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;242;233;96%;19%;24%;58%;74%;93;55;75;81;70;85;75;55;76
FORQUILHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;258;214;83%;11%;20%;69%;78%;95;53;83;86;79;87;81;61;87
FORTALEZA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;19290;0;0%;0%;0%;0%;0%;;;;;;;;;
FORTIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;257;199;77%;18%;17%;65%;77%;95;59;79;86;69;93;70;54;82
FRECHEIRINHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;268;253;94%;34%;29%;37%;67%;75;45;68;78;51;85;61;45;76
GENERAL SAMPAIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;136;94;69%;37%;31%;32%;64%;82;47;62;75;44;81;68;48;77
GRACA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;228;191;84%;12%;26%;62%;78%;96;52;76;89;69;91;78;61;77
GRANJA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;837;801;96%;17%;14%;69%;78%;92;61;84;82;85;90;80;58;84
GRANJEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;76;36;47%;42%;42%;17%;60%;89;35;54;64;58;77;56;44;62
GROAIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;121;118;98%;8%;17%;75%;81%;96;62;90;86;60;93;80;76;90
GUAIUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;315;257;82%;28%;24%;48%;70%;88;51;73;79;58;85;65;46;77
GUARACIABA DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;646;569;88%;14%;20%;66%;78%;92;55;83;85;73;91;76;59;83
GUARAMIRANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;77;72;94%;19%;31%;50%;71%;95;45;77;82;57;84;72;48;74
HIDROLANDIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;215;207;96%;15%;22%;62%;76%;95;56;81;82;70;85;80;54;83
IBARETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;160;0;0%;0%;0%;0%;0%;;;;;;;;;
IBIAPINA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;365;305;84%;39%;24%;37%;63%;79;51;66;65;61;78;49;42;73
ICAPUI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;301;289;96%;25%;16%;60%;72%;84;50;79;81;63;88;72;53;78
ICO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;677;572;84%;41%;29%;30%;62%;66;47;67;70;54;75;62;45;69
IGUATU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;953;707;74%;39%;26%;35%;63%;82;48;66;68;54;80;59;43;68
INDEPENDENCIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;258;222;86%;7%;14%;78%;84%;92;73;90;88;82;94;90;65;90
IPAPORANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;162;157;97%;32%;26%;42%;67%;88;51;65;75;34;87;68;39;75
IPAUMIRIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;132;123;93%;42%;14%;44%;59%;72;43;59;72;51;79;49;61;62
IPU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;356;0;0%;0%;0%;0%;0%;;;;;;;;;
IPUEIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;487;368;76%;19%;10%;71%;73%;80;56;82;78;73;70;75;64;81
IRACEMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;148;0;0%;0%;0%;0%;0%;;;;;;;;;
IRAUCUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;376;355;94%;12%;21%;66%;78%;94;51;86;85;84;92;81;55;84
ITAICABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;110;107;97%;18%;31%;51%;74%;95;52;76;86;49;94;68;49;82
ITAITINGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;846;763;90%;34%;25%;42%;66%;87;46;69;74;55;82;64;47;68
ITAPAJE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;455;227;50%;26%;32%;42%;65%;87;45;69;75;58;78;63;49;64
ITAPIUNA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;220;0;0%;0%;0%;0%;0%;;;;;;;;;
ITATIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;174;0;0%;0%;0%;0%;0%;;;;;;;;;
JAGUARETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;233;215;92%;29%;22%;48%;69%;86;50;74;76;71;83;62;42;77
JAGUARIBARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;152;144;95%;41%;26%;33%;62%;79;41;61;73;48;82;57;38;68
JAGUARIBE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;474;424;89%;29%;24%;47%;68%;89;47;67;78;63;87;68;47;69
JAGUARUANA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;342;320;94%;21%;30%;48%;67%;91;44;72;79;56;86;68;57;56
JARDIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;390;349;89%;36%;25%;39%;62%;81;44;64;68;54;81;53;43;65
JATI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;126;112;89%;43%;30%;27%;61%;67;39;69;65;66;79;56;42;70
JUAZEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1535;0;0%;0%;0%;0%;0%;;;;;;;;;
JUCAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;269;264;98%;20%;25%;55%;71%;93;50;73;81;52;91;64;52;80
LAVRAS DA MANGABEIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;281;144;51%;22%;36%;42%;70%;86;44;77;77;42;87;73;52;80
LIMOEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;669;589;88%;27%;28%;45%;65%;82;47;69;76;52;86;67;50;54
MADALENA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;292;248;85%;19%;24%;57%;74%;89;53;80;79;64;90;74;54;81
MARACANAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;3175;2754;87%;31%;23%;46%;68%;88;49;72;76;58;84;65;46;73
MARANGUAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1249;1130;90%;19%;26%;54%;69%;93;40;70;78;63;87;69;52;63
MARCO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;525;0;0%;0%;0%;0%;0%;;;;;;;;;
MARTINOPOLE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;198;163;82%;12%;19%;69%;77%;90;57;86;84;71;81;86;56;79
MASSAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;539;503;93%;15%;25%;59%;76%;89;55;83;83;67;91;80;56;83
MAURITI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;600;480;80%;33%;35%;32%;65%;79;44;68;71;56;80;59;48;72
MERUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;257;252;98%;5%;11%;85%;81%;97;48;88;90;77;91;86;62;85
MILAGRES;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;283;247;87%;26%;32%;43%;70%;88;50;75;75;64;86;73;48;73
MILHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;162;136;84%;20%;19%;61%;73%;90;56;81;76;72;89;74;55;72
MIRAIMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;13;0;0%;0%;0%;0%;0%;;;;;;;;;
MISSAO VELHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;66;0;0%;0%;0%;0%;0%;;;;;;;;;
MOMBACA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;512;1;0%;100%;0%;0%;59%;100;0;100;50;0;100;100;33;67
MONSENHOR TABOSA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;172;127;74%;26%;17%;57%;74%;92;55;75;79;63;89;72;55;81
MORADA NOVA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;622;207;33%;51%;21%;29%;57%;74;38;55;65;40;75;51;36;64
MORRINHOS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;278;0;0%;0%;0%;0%;0%;;;;;;;;;
MUCAMBO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;207;166;80%;19%;11%;70%;77%;89;57;82;82;89;91;80;60;81
