Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 13 (%);H 15 (%);H 23 (%);H 24 (%);H 25 (%);H 26 (%);H 27 (%);H 29 (%);H 30 (%);H 32 (%);H 33 (%);H 35 (%)
ACARAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;212;205;97%;11%;20%;69%;61%;69;59;75;75;63;66;65;67;49;0;43;36
ACARAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;931;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
ACOPIARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;154;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
ALCANTARAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;174;133;76%;5%;8%;87%;74%;70;83;84;80;86;51;81;76;57;90;68;62
ALTANEIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;16;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
ALTO SANTO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;66;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
ANTONINA DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;87;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
ARACATI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;929;771;83%;11%;20%;70%;61%;65;75;78;76;63;61;65;68;53;0;44;39
ARACOIABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;292;269;92%;10%;17%;73%;62%;65;69;77;74;70;64;69;66;56;;45;38
ARARENDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;155;151;97%;0%;3%;97%;89%;93;4;93;93;92;92;95;97;92;;95;91
ARARIPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;321;18;6%;11%;33%;56%;56%;47;56;;44;83;46;65;;67;58;47;56
ARATUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;221;193;87%;8%;18%;74%;61%;65;76;75;62;72;56;72;62;52;83;48;36
ARNEIROZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;15;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
ASSARE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;200;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
AURORA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;249;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
BARRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;214;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
BARROQUINHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;352;240;68%;11%;17%;72%;61%;60;29;;61;83;55;62;;60;72;62;59
BATURITE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;459;16;3%;25%;38%;38%;49%;38;31;63;63;56;13;53;56;50;63;50;56
BELA CRUZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;308;33;11%;6%;9%;85%;76%;78;66;92;83;91;60;76;71;73;74;83;68
BOA VIAGEM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;25;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
BREJO SANTO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;585;527;90%;12%;17%;71%;63%;63;62;79;71;74;56;67;64;56;75;55;47
CAMOCIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;925;748;81%;10%;15%;75%;64%;66;74;76;75;69;65;66;69;59;;52;40
CAMPOS SALES;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;38;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
CANINDE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;932;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
CAPISTRANO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;204;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
CARIDADE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;13;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
CARIRIACU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;241;55;23%;27%;18%;55%;55%;53;43;64;53;73;61;54;47;;56;52;55
