Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 13 (%);H 25 (%);H 26 (%);H 27 (%);H 28 (%);H 29 (%);H 31 (%);H 34 (%);H 36 (%);H 37 (%);H 38 (%);H 39 (%);H 40 (%);H 41 (%);H 42 (%);H 43 (%);H 44 (%);H 45 (%);H 46 (%);H 47 (%)
ACARAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;208;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
ACARAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;797;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
ACOPIARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;45;22;49%;18%;27%;55%;57%;47;77;23;77;66;45;64;77;55;;64;59;68;59;50;68;;27;73;50
ALCANTARAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;188;175;93%;5%;7%;87%;77%;71;89;42;85;70;80;82;87;82;89;86;81;77;79;87;71;76;65;87;75
ALTANEIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;11;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
ALTO SANTO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;82;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
ANTONINA DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;79;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
AQUIRAZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;57;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
ARACATI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;910;758;83%;12%;19%;69%;66%;63;81;75;79;59;69;62;69;64;;73;61;64;67;66;66;;51;73;58
ARACOIABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;344;334;97%;22%;30%;48%;54%;52;71;60;67;49;59;47;55;51;;63;50;56;57;49;60;;38;61;50
ARARENDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;129;129;100%;0%;1%;99%;94%;90;92;96;97;94;96;95;97;83;;98;95;88;95;96;95;;92;98;93
ARARIPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;311;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
ARATUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;185;169;91%;14%;25%;62%;59%;53;76;40;80;54;62;51;65;67;88;70;53;60;60;59;56;51;47;71;48
ARNEIROZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;8;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
ASSARE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;204;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
AURORA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;257;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
BARRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;262;12;5%;100%;0%;0%;23%;36;8;0;33;38;58;25;0;33;;8;25;0;0;42;17;;8;0;29
BARROQUINHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;245;229;93%;16%;18%;66%;66%;69;76;71;78;56;82;58;64;74;83;82;46;59;100;72;64;41;100;75;62
BATURITE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;400;377;94%;14%;25%;61%;58%;49;74;26;77;59;100;53;57;69;83;66;52;63;56;62;0;44;39;55;52
BELA CRUZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;310;303;98%;7%;15%;78%;69%;70;82;40;83;60;71;63;67;77;81;82;69;66;88;77;76;46;71;76;68
BOA VIAGEM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;10;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
BREJO SANTO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;539;500;93%;12%;20%;68%;64%;66;80;64;79;57;67;51;56;75;78;76;62;57;69;65;75;41;42;66;59
CAMOCIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;866;750;87%;10%;20%;70%;67%;69;75;75;80;60;72;66;74;62;0;75;62;57;68;66;75;0;62;71;58
CAMPOS SALES;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;42;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
CANINDE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;789;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
CAPISTRANO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;197;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
CARIRIACU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;184;6;3%;0%;17%;83%;75%;78;33;100;100;75;33;67;67;100;;67;100;17;50;100;50;;83;100;100
CARIUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;183;179;98%;9%;15%;75%;70%;66;85;82;80;59;79;61;;71;80;73;;;75;71;76;48;53;84;65
CARNAUBAL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;255;226;89%;10%;22%;69%;65%;60;79;71;78;59;71;59;70;69;50;74;63;62;66;68;73;50;57;73;54
CASCAVEL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;732;69;9%;12%;25%;64%;63%;61;77;41;78;45;58;65;67;68;77;77;55;70;63;57;68;47;75;70;58
