Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%)
ABAIARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;119;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ACARAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;199;174;87%;2%;9%;89%;89%;89;84;93;92;95;95;84;83;87;88;84
ACARAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;963;595;62%;13%;27%;60%;71%;68;69;83;86;86;78;50;62;62;59;58
ACOPIARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;463;0;0%;0%;0%;0%;0%;;;;;;;;;;;
AIUABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;194;157;81%;8%;25%;67%;71%;74;61;84;82;84;83;55;61;66;63;56
ALCANTARAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;177;144;81%;0%;7%;93%;91%;91;89;97;97;95;97;79;90;87;84;87
ALTO SANTO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;207;182;88%;13%;25%;63%;72%;71;68;84;83;;82;80;51;65;68;73
ANTONINA DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;79;75;95%;1%;7%;92%;85%;84;78;91;89;100;93;87;70;84;88;89
AQUIRAZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1169;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ARACATI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;908;739;81%;12%;21%;67%;74%;73;66;87;86;88;83;52;68;64;67;63
ARACOIABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;336;299;89%;10%;17%;74%;75%;72;69;82;83;86;81;65;71;63;72;76
ARARENDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;150;145;97%;1%;1%;99%;89%;95;66;96;92;94;92;92;88;97;95;92
ARARIPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;373;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ARATUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;181;165;91%;5%;9%;85%;84%;87;86;89;89;90;90;81;77;78;77;77
ARNEIROZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;93;87;94%;8%;29%;63%;74%;73;65;86;87;84;91;52;64;67;57;66
ASSARE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;312;289;93%;8%;10%;83%;82%;82;80;88;84;89;92;66;76;78;82;70
AURORA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;256;208;81%;15%;27%;58%;69%;67;62;82;80;83;82;52;62;63;57;50
BAIXIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;87;74;85%;4%;0%;96%;89%;95;91;94;86;81;93;93;86;73;84;93
BANABUIU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;258;198;77%;9%;18%;74%;78%;81;76;85;79;;92;84;64;76;70;78
BARBALHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1;0;0%;0%;0%;0%;0%;;;;;;;;;;;
BARREIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;308;278;90%;8%;20%;73%;77%;86;72;87;86;86;81;64;74;60;71;59
BARRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;251;196;78%;9%;23%;68%;74%;75;66;85;85;83;84;64;62;70;68;68
