Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%)
ABAIARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;119;0;0%;0%;0%;0%;0%;;;;;;;;;
ACARAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;199;169;85%;2%;7%;91%;92%;92;89;94;92;93;97;85;94;91
ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;963;603;63%;5%;17%;79%;85%;85;72;86;81;83;98;79;93;81
ACOPIARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;463;0;0%;0%;0%;0%;0%;;;;;;;;;
AIUABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;183;0;0%;0%;0%;0%;0%;;;;;;;;;
ALCANTARAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;177;145;82%;1%;4%;95%;93%;94;85;94;92;90;99;90;96;93
ALTO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;207;183;88%;3%;17%;79%;88%;81;80;87;76;77;98;96;95;89
ANTONINA DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;79;75;95%;1%;27%;72%;84%;78;77;84;73;79;93;85;94;88
AQUIRAZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1169;0;0%;0%;0%;0%;0%;;;;;;;;;
ARACATI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;908;725;80%;7%;19%;74%;82%;83;69;82;74;83;97;77;93;79
ARACOIABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;336;291;87%;9%;25%;66%;78%;77;64;83;75;77;97;65;90;76
ARARENDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;150;146;97%;6%;3%;91%;89%;95;87;85;88;92;87;89;89;88
ARARIPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;373;0;0%;0%;0%;0%;0%;;;;;;;;;
ARATUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;181;161;89%;4%;11%;85%;87%;84;94;88;85;81;98;77;95;89
ARNEIROZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;93;84;90%;7%;26%;67%;81%;81;73;86;70;84;96;70;95;74
ASSARE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;312;286;92%;10%;15%;76%;83%;82;69;82;84;83;94;79;91;78
AURORA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;256;206;80%;10%;29%;61%;76%;78;62;76;70;80;97;60;89;70
BAIXIO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;87;74;85%;7%;3%;91%;82%;91;78;92;72;70;92;64;86;91
BANABUIU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;258;198;77%;8%;22%;70%;84%;81;77;82;72;70;97;92;95;83
BARBALHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1;0;0%;0%;0%;0%;0%;;;;;;;;;
BARREIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;308;272;88%;5%;15%;80%;85%;84;72;86;83;88;97;70;95;84
BARRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;251;197;78%;6%;27%;67%;78%;76;70;79;75;80;96;63;90;78
BARROQUINHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;248;232;94%;9%;27%;64%;79%;80;48;80;72;78;92;81;88;73
BATURITE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;348;26;7%;0%;15%;85%;88%;85;87;96;83;79;100;86;96;87
BELA CRUZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;358;0;0%;0%;0%;0%;0%;;;;;;;;;
BOA VIAGEM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;839;0;0%;0%;0%;0%;0%;;;;;;;;;
BREJO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;603;505;84%;5%;21%;74%;81%;78;78;82;75;74;96;71;92;82
CAMOCIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;934;778;83%;9%;19%;72%;81%;83;71;80;69;81;95;80;88;79
CAMPOS SALES;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;314;240;76%;11%;37%;52%;73%;69;63;74;67;71;87;71;84;74
CANINDE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;998;14;1%;0%;64%;36%;68%;57;93;52;46;57;100;74;96;64
CAPISTRANO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;213;164;77%;10%;22%;68%;78%;77;62;81;74;83;93;68;87;73
CARIDADE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;221;0;0%;0%;0%;0%;0%;;;;;;;;;
CARIRE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;229;220;96%;4%;6%;90%;89%;90;87;90;85;86;98;82;94;88
CARIRIACU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;301;11;4%;9%;0%;91%;84%;79;64;88;91;91;100;76;91;73
CARIUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;207;196;95%;4%;17%;80%;84%;85;72;84;81;79;99;76;94;82
CARNAUBAL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;290;269;93%;10%;20%;70%;79%;77;74;81;74;79;96;67;91;76
CASCAVEL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;831;60;7%;2%;15%;83%;85%;89;80;92;80;78;97;75;96;87
CATARINA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;171;0;0%;0%;0%;0%;0%;;;;;;;;;
CATUNDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;179;4;2%;0%;0%;100%;92%;67;100;100;88;100;100;92;100;92
CAUCAIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;86;0;0%;0%;0%;0%;0%;;;;;;;;;
CEDRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;214;195;91%;6%;18%;76%;87%;86;76;84;75;95;98;90;94;78
CHAVAL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;198;187;94%;5%;20%;75%;83%;81;70;84;81;87;98;69;93;83
CHORO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;222;0;0%;0%;0%;0%;0%;;;;;;;;;
CRATEUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;766;669;87%;9%;16%;75%;82%;84;73;83;76;76;91;84;87;78
CRATO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1275;966;76%;11%;24%;64%;77%;75;70;81;70;78;91;68;86;75
CROATA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;242;203;84%;1%;6%;93%;92%;93;86;92;92;87;98;86;97;93
DEPUTADO IRAPUAN PINHEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;99;95;96%;2%;16%;82%;88%;88;83;90;80;94;96;79;94;84
ERERE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;101;10;10%;30%;10%;60%;76%;83;70;63;80;67;100;67;90;73
EUSEBIO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1030;939;91%;4%;12%;84%;87%;87;81;87;83;86;98;81;94;85
FARIAS BRITO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;236;228;97%;5%;18%;77%;82%;82;77;86;79;73;95;80;95;78
FORQUILHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;272;234;86%;5%;8%;87%;87%;91;88;89;90;88;87;79;90;85
FORTALEZA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;16034;240;1%;12%;23%;65%;77%;74;70;76;69;78;93;73;87;75
FORTIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;241;226;94%;7%;28%;65%;80%;76;74;79;70;75;96;74;93;82
GENERAL SAMPAIO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;134;104;78%;4%;28%;68%;82%;81;92;86;75;68;96;74;94;84
GRACA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;226;184;81%;3%;10%;88%;87%;86;77;86;90;88;97;81;93;86
GRANJA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;770;737;96%;4%;9%;87%;88%;85;82;90;87;88;97;80;94;87
GRANJEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;81;0;0%;0%;0%;0%;0%;;;;;;;;;
GROAIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;151;148;98%;2%;16%;82%;89%;84;87;84;89;80;99;85;98;93
GUAIUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;360;305;85%;6%;23%;71%;80%;80;72;82;78;80;96;71;89;76
GUARACIABA DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;726;8;1%;100%;0%;0%;24%;0;67;13;13;0;54;6;29;0
GUARAMIRANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;81;77;95%;5%;25%;70%;84%;75;79;85;77;65;97;79;96;89
HIDROLANDIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;225;218;97%;3%;7%;90%;88%;91;80;88;87;90;99;74;93;90
HORIZONTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;33;0;0%;0%;0%;0%;0%;;;;;;;;;
IBARETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;205;139;68%;5%;27%;68%;81%;76;76;86;72;83;96;66;91;83
IBIAPINA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;348;279;80%;3%;18%;80%;84%;84;75;88;81;85;97;68;94;82
IBICUITINGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;162;146;90%;9%;27%;62%;74%;76;68;79;68;79;93;58;86;63
ICAPUI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;276;246;89%;7%;19%;74%;82%;82;67;81;77;82;98;78;92;75
ICO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;736;551;75%;12%;27%;60%;75%;73;72;81;66;69;92;65;86;72
IGUATU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;535;376;70%;12%;34%;54%;75%;74;69;73;59;76;96;63;90;70
INDEPENDENCIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;249;191;77%;1%;7%;92%;91%;91;84;95;93;85;97;87;95;92
IPAPORANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;150;139;93%;6%;19%;75%;82%;83;68;82;80;78;97;74;92;80
IPAUMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;133;103;77%;11%;32%;57%;78%;76;68;79;68;75;95;73;91;77
