Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%);H 16 (%)
ABAIARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;116;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
ACARAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;232;207;89%;5%;7%;88%;86%;96;86;89;77;;82;84;78;94;88;84;92;;89;;78
ACARAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;956;592;62%;16%;20%;64%;70%;94;72;79;65;75;57;65;65;87;68;65;81;0;74;0;49
ACOPIARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;464;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
AIUABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;159;131;82%;18%;17%;65%;68%;94;64;79;58;;55;68;64;85;70;61;81;;79;;43
ALCANTARAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;187;164;88%;3%;7%;90%;86%;97;88;92;84;;70;89;82;97;92;87;92;;89;;65
ALTANEIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;108;101;94%;2%;1%;97%;95%;96;96;97;97;;96;94;93;98;98;93;95;;91;;95
ALTO SANTO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;243;199;82%;17%;23%;60%;67%;96;78;54;69;78;50;66;58;91;78;65;82;59;61;44;34
ANTONINA DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;81;77;95%;4%;3%;94%;88%;93;93;92;84;91;82;87;86;91;87;92;91;73;88;90;81
AQUIRAZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1358;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
ARACATI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;992;794;80%;11%;20%;69%;73%;95;74;79;66;;61;70;67;91;74;73;84;;74;;48
ARACOIABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;327;311;95%;18%;18%;64%;69%;89;72;79;59;;51;58;63;84;77;71;82;;72;;48
ARARENDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;165;153;93%;1%;1%;99%;94%;95;92;92;97;;98;96;92;98;92;94;88;;90;;97
ARARIPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;355;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
ARATUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;188;181;96%;18%;18%;65%;67%;92;70;73;64;63;55;67;63;88;65;65;79;51;64;36;38
ARNEIROZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;100;91;91%;18%;26%;56%;66%;88;66;78;57;;51;60;70;90;73;55;73;;73;;39
ASSARE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;297;272;92%;17%;13%;71%;75%;88;74;82;69;;65;72;70;92;85;76;81;;74;;60
AURORA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;303;260;86%;20%;27%;53%;67%;83;66;77;54;;57;65;59;86;65;68;77;;73;;44
BAIXIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;54;21;39%;5%;0%;95%;82%;94;81;93;90;81;74;92;81;97;72;92;88;69;62;56;74
BANABUIU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;267;232;87%;23%;24%;53%;66%;85;66;75;58;100;52;63;57;88;66;65;73;100;69;0;43
BARREIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;336;310;92%;18%;26%;56%;68%;90;69;76;59;;56;61;65;87;71;65;77;;64;;47
BARRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;212;200;94%;20%;28%;52%;63%;87;63;71;55;82;55;58;63;81;62;60;75;67;59;42;39
BARROQUINHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;406;255;63%;17%;20%;63%;63%;;68;76;69;82;63;67;45;93;69;63;83;54;44;38;
BATURITE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;349;25;7%;0%;12%;88%;77%;66;88;90;64;;64;76;76;92;88;78;86;;88;;62
BELA CRUZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;360;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
BOA VIAGEM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;586;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
BREJO SANTO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;648;594;92%;9%;21%;70%;73%;94;75;84;61;84;62;75;65;89;73;74;88;62;73;56;55
CAMOCIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;893;759;85%;16%;20%;64%;70%;87;69;81;65;50;53;67;62;84;72;67;78;0;76;0;50
CAMPOS SALES;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;313;241;77%;22%;33%;45%;62%;72;59;66;54;78;58;55;63;79;62;60;79;58;65;53;31
CANINDE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;937;10;1%;40%;50%;10%;44%;75;55;50;10;;35;35;30;90;30;30;70;;70;;15
CAPISTRANO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;218;183;84%;26%;25%;49%;62%;84;58;71;61;;44;65;57;79;60;63;73;;62;;37
CARIDADE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;210;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
CARIRE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;257;252;98%;1%;4%;95%;88%;97;89;91;85;;70;90;87;95;90;89;96;;89;;78
CARIRIACU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;339;11;3%;9%;9%;82%;72%;95;45;91;50;;55;91;82;82;100;86;91;;82;;14
CARIUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;211;190;90%;4%;16%;80%;79%;99;81;87;74;;66;76;72;93;86;74;93;;79;;51
CARNAUBAL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;330;287;87%;14%;22%;64%;70%;93;71;77;59;82;61;68;63;86;77;69;79;71;68;66;38
CASCAVEL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;709;74;10%;22%;38%;41%;59%;85;67;68;53;100;47;46;38;86;59;51;69;73;59;38;36
CATARINA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;131;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
CATUNDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;163;12;7%;0%;0%;100%;94%;96;88;92;96;;96;88;92;100;92;92;96;;100;;96
CAUCAIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;4425;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
CEDRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;26;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
CHAVAL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;202;195;97%;17%;25%;58%;69%;93;59;75;63;;64;63;64;88;67;64;79;;69;;52
CHORO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;174;18;10%;0%;39%;61%;73%;97;72;78;75;;50;69;94;94;78;75;83;;61;;36
COREAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;9;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
CRATEUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;937;845;90%;18%;24%;58%;68%;89;66;75;64;50;55;65;62;85;73;66;79;0;70;0;46
CRATO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1396;1224;88%;17%;26%;57%;67%;84;67;74;58;82;57;60;60;84;72;66;79;58;67;45;48
CROATA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;289;265;92%;5%;10%;85%;82%;95;87;88;80;84;70;84;78;93;88;84;90;76;85;49;63
DEPUTADO IRAPUAN PINHEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;87;81;93%;11%;25%;64%;69%;94;68;81;63;56;59;73;53;89;60;67;83;44;66;36;60
ERERE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;120;35;29%;14%;43%;43%;63%;97;59;79;53;;46;49;37;83;86;64;76;;63;;41
EUSEBIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1131;1065;94%;11%;21%;68%;73%;95;75;81;66;;61;67;62;91;77;68;84;;76;;50
FARIAS BRITO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;241;232;96%;13%;18%;69%;69%;93;70;73;67;73;73;71;64;84;73;77;82;58;62;45;50
FORQUILHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;254;221;87%;9%;11%;81%;78%;89;85;85;79;;62;76;67;87;77;82;84;;79;;59
FORTALEZA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;19376;621;3%;22%;24%;54%;63%;76;68;69;61;81;55;60;57;83;68;56;75;65;60;51;38
FORTIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;263;239;91%;10%;21%;69%;71%;85;78;74;71;75;69;71;61;91;67;72;88;51;65;46;54
FRECHEIRINHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;268;239;89%;16%;25%;59%;67%;92;71;70;65;71;60;65;55;84;71;69;82;52;61;34;44
GENERAL SAMPAIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;136;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
GRACA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;228;202;89%;13%;12%;74%;77%;87;75;85;73;;71;74;73;91;80;78;81;;74;;58
GRANJA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;838;794;95%;6%;8%;86%;82%;92;82;88;79;100;73;86;84;91;80;82;89;0;85;0;66
