Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%)
ABAIARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;116;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
ACARAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;232;207;89%;7%;12%;81%;84%;81;84;72;92;84;81;;73;;84;75;91;86;94;85
ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;956;616;64%;22%;28%;50%;71%;66;67;67;81;80;78;;53;;68;60;87;64;69;82
ACOPIARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;464;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
AIUABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;159;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
ALCANTARAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;187;162;87%;4%;4%;91%;90%;91;90;88;95;95;91;;81;;90;87;95;91;85;97
ALTANEIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;108;103;95%;2%;2%;96%;96%;98;93;95;98;93;97;;95;;98;95;96;98;97;97
ALTO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;243;197;81%;29%;23%;48%;67%;88;65;69;86;78;65;46;30;56;64;52;79;78;92;71
ANTONINA DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;81;77;95%;6%;16%;78%;82%;89;88;88;89;88;85;66;70;76;85;74;87;57;85;90
AQUIRAZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1358;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
ARACATI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;992;783;79%;20%;27%;53%;72%;61;66;64;86;79;77;;54;;71;68;89;67;72;81
ARACOIABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;327;312;95%;29%;32%;39%;66%;57;60;57;74;70;69;0;55;0;53;67;81;55;67;80
ARARENDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;165;153;93%;1%;0%;99%;94%;92;98;93;93;93;93;;96;;97;90;93;90;97;97
ARARIPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;355;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
ARATUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;188;182;97%;27%;31%;42%;66%;60;63;62;78;80;72;48;56;38;59;62;81;59;61;76
ARNEIROZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;100;92;92%;42%;29%;28%;57%;78;51;55;76;67;55;45;37;40;51;53;67;64;90;61
ASSARE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;297;276;93%;21%;20%;59%;75%;70;68;65;85;76;78;;66;;79;67;88;74;76;79
AURORA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;303;257;85%;37%;34%;29%;61%;49;57;50;76;69;63;;45;;56;51;77;43;70;68
BAIXIO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;54;21;39%;14%;48%;38%;68%;48;38;67;93;81;81;;33;;57;57;90;81;83;81
BANABUIU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;267;234;88%;32%;29%;39%;63%;56;61;54;78;68;72;0;47;0;59;52;80;59;64;70
BARREIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;336;306;91%;37%;35%;28%;60%;50;52;58;76;66;64;;44;;61;44;80;51;62;72
BARRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;218;198;91%;29%;31%;39%;65%;58;61;57;80;79;67;26;49;57;63;57;80;55;64;79
BARROQUINHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;406;251;62%;35%;35%;29%;64%;63;25;58;77;78;72;48;27;49;57;50;85;84;59;70
BATURITE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;349;24;7%;0%;46%;54%;80%;75;83;88;100;96;79;50;50;75;92;75;96;63;92;85
BELA CRUZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;360;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
BOA VIAGEM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;586;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
BREJO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;648;595;92%;20%;29%;51%;72%;68;65;74;82;75;73;56;58;72;62;57;91;71;72;82
CAMOCIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;893;744;83%;24%;28%;48%;69%;61;64;64;77;77;76;;55;;69;65;82;60;63;78
CAMPOS SALES;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;313;230;73%;42%;37%;21%;58%;56;50;54;65;71;61;49;38;45;46;48;74;56;65;63
CANINDE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;937;8;1%;38%;50%;13%;53%;25;13;50;88;88;75;;31;;50;63;69;13;50;50
CAPISTRANO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;218;177;81%;34%;36%;30%;62%;53;55;52;78;72;69;0;44;0;52;58;75;52;61;71
CARIDADE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;210;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
CARIRE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;257;252;98%;3%;9%;88%;90%;90;88;89;95;94;94;;82;;95;83;96;85;88;94
CARIRIACU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;339;11;3%;27%;55%;18%;57%;68;55;73;50;64;73;;59;;18;45;82;91;36;9
CARIUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;211;190;90%;15%;24%;61%;76%;78;75;71;88;84;84;25;54;0;70;61;88;73;76;88
CARNAUBAL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;330;278;84%;31%;29%;40%;64%;57;61;60;76;70;68;38;40;66;62;53;87;63;66;71
CASCAVEL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;709;75;11%;25%;35%;40%;63%;65;59;63;73;66;64;73;49;73;55;53;84;57;51;80
CATARINA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;131;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
CATUNDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;163;12;7%;17%;17%;67%;78%;67;54;92;92;71;75;;75;;83;58;96;100;83;100
CAUCAIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;4425;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
CEDRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;26;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
CHAVAL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;224;199;89%;32%;32%;36%;62%;51;62;50;73;69;68;;48;;53;53;86;57;57;78
CHORO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;174;18;10%;39%;44%;17%;56%;36;53;44;78;75;72;;39;;50;36;86;28;50;50
COREAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;9;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
CRATEUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;937;844;90%;31%;28%;41%;64%;59;61;52;79;73;70;0;49;0;60;53;83;55;60;76
CRATO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1396;1213;87%;30%;35%;35%;64%;53;56;60;76;71;69;62;44;53;64;54;83;61;62;75
CROATA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;289;266;92%;6%;20%;74%;83%;83;84;83;89;87;82;70;73;72;78;73;92;90;80;88
DEPUTADO IRAPUAN PINHEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;87;82;94%;9%;27%;65%;78%;79;76;75;92;86;88;64;73;67;51;55;92;78;91;85
ERERE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;120;36;30%;28%;39%;33%;65%;55;61;38;80;87;83;0;46;0;51;51;86;32;68;86
EUSEBIO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1131;1059;94%;18%;24%;58%;74%;72;70;67;85;83;81;;52;;67;64;90;64;74;80
FARIAS BRITO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;241;231;96%;18%;28%;54%;74%;76;74;78;85;82;78;54;50;66;61;56;90;83;78;82
FORQUILHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;254;224;88%;13%;18%;69%;79%;79;80;72;85;88;85;;69;;76;61;90;76;81;84
FORTALEZA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;19376;203;1%;33%;29%;38%;63%;58;61;55;76;72;65;31;43;44;57;52;79;67;62;70
FORTIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;263;240;91%;18%;28%;54%;72%;77;77;70;88;84;70;40;45;55;67;66;85;80;82;80
FRECHEIRINHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;268;219;82%;29%;29%;42%;66%;58;59;61;83;80;73;50;54;42;68;49;79;65;69;69
GENERAL SAMPAIO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;136;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
GRACA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;228;200;88%;16%;19%;66%;77%;74;76;74;86;82;80;;67;;78;70;90;66;77;84
GRANJA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;838;793;95%;8%;14%;78%;84%;80;82;78;90;89;90;;78;;80;81;92;74;84;86
GRANJEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;76;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
GROAIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;123;115;93%;6%;21%;73%;82%;81;83;78;92;90;81;71;76;81;85;65;93;83;81;90
GUAIUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;312;264;85%;28%;28%;44%;66%;59;66;59;75;72;70;;49;;63;62;81;53;68;77
GUARACIABA DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;646;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
GUARAMIRANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;77;68;88%;15%;22%;63%;77%;79;82;79;86;91;86;73;63;62;63;61;92;82;62;86
HIDROLANDIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;215;208;97%;4%;20%;76%;85%;87;88;90;94;91;88;;68;;79;74;98;73;81;93
HORIZONTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;39;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
IBARETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;185;123;66%;31%;37%;33%;64%;43;55;67;80;69;72;;54;;72;49;76;47;69;79
IBIAPINA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;367;297;81%;28%;25%;46%;68%;63;64;66;79;70;72;0;54;50;72;54;84;62;70;76
ICAPUI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;301;282;94%;29%;28%;42%;66%;54;65;56;82;78;68;;48;;66;56;82;61;66;75
ICO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;705;557;79%;39%;35%;26%;58%;50;48;42;71;69;67;0;44;0;54;45;77;44;63;72
IGUATU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;925;577;62%;44%;31%;25%;56%;50;49;53;74;62;63;46;41;53;52;47;72;50;44;66
INDEPENDENCIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;264;218;83%;8%;19%;73%;82%;80;79;84;91;91;91;;82;;23;74;93;76;80;91
IPAPORANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;163;155;95%;12%;22%;66%;78%;94;78;83;88;87;77;58;53;71;78;61;87;86;92;84
IPAUMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;132;77;58%;34%;30%;36%;60%;60;76;56;75;78;70;36;46;33;53;32;74;73;55;62
IPU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;356;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
IPUEIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;520;446;86%;8%;23%;69%;84%;76;25;85;90;89;85;75;76;82;80;75;94;94;80;91
IRACEMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;166;137;83%;34%;39%;27%;61%;51;40;67;71;60;70;54;39;68;53;51;80;59;67;77
IRAUCUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;383;371;97%;14%;22%;64%;78%;85;77;78;87;0;82;68;0;75;75;65;90;76;53;85
ITAICABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;105;104;99%;19%;30%;51%;71%;94;64;69;88;90;78;56;26;62;61;57;88;75;97;82
