Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%);H 16 (%);H 17 (%);H 18 (%)
ACARAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;214;207;97%;6%;27%;67%;73%;68;76;58;85;85;76;69;76;81;;67;62;63;81;60;69;83;84
ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;961;445;46%;32%;22%;46%;60%;62;73;42;75;81;49;74;56;68;;49;55;40;67;40;53;74;71
ACOPIARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;154;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
ALCANTARAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;178;143;80%;6%;6%;88%;85%;86;91;84;93;91;83;86;90;94;;78;81;75;89;66;75;91;91
ALTANEIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;16;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
ALTO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;66;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
ANTONINA DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;87;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
AQUIRAZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;1189;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
ARACATI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;923;769;83%;30%;20%;50%;62%;65;72;37;79;81;60;65;68;69;;54;50;43;76;50;53;76;68
ARACOIABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;286;268;94%;28%;21%;51%;62%;60;65;44;68;76;57;70;63;71;;54;54;46;69;62;57;74;72
ARARENDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;169;161;95%;0%;1%;98%;86%;94;98;80;91;98;81;98;94;93;;90;94;90;24;20;94;96;90
ARARIPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;321;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
ARATUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;203;191;94%;22%;22%;55%;65%;68;61;47;113;82;68;70;73;73;68;57;56;53;77;59;60;80;67
ARNEIROZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;15;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
ASSARE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;200;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
AURORA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;249;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
BAIXIO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;6;6;100%;17%;50%;33%;58%;17;83;83;100;100;58;50;92;0;25;;0;0;67;92;;;50
BARRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;215;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
BARROQUINHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;341;228;67%;34%;15%;50%;59%;75;67;45;;79;46;68;54;63;29;57;50;;75;63;80;71;60
BATURITE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;466;19;4%;16%;21%;63%;68%;79;63;45;84;84;82;95;68;;71;68;47;61;21;74;74;100;63
BELA CRUZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;308;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
BOA VIAGEM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;25;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
BREJO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;637;567;89%;19%;18%;61%;67%;74;70;48;128;77;69;78;73;70;61;64;55;58;60;73;60;80;69
CAMOCIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;929;662;71%;24%;19%;57%;67%;69;72;53;69;80;65;73;64;73;;62;63;55;77;51;59;77;73
CAMPOS SALES;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;37;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
CANINDE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;1011;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
CAPISTRANO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;204;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
CARIRIACU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;241;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
CARIUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;220;210;95%;23%;10%;59%;70%;84;80;53;;86;57;84;70;79;50;65;64;;73;55;85;85;82
CARNAUBAL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;278;249;90%;24%;18%;58%;64%;69;73;40;90;78;65;78;72;77;59;56;45;45;69;75;46;69;56
CASCAVEL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;732;88;12%;16%;14%;70%;73%;59;74;68;84;84;80;82;80;75;84;67;71;74;79;46;62;77;79
CATARINA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;82;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
CATUNDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;127;9;7%;22%;22%;56%;63%;56;89;44;44;78;56;89;100;67;;78;61;22;56;22;50;78;67
CAUCAIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;3129;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
CEDRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;25;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
CHAVAL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;212;175;83%;24%;26%;50%;64%;62;73;52;63;80;67;67;68;71;;57;54;47;53;69;55;77;75
CHORO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;204;11;5%;9%;9%;82%;74%;82;82;9;;100;73;64;73;91;;77;82;82;82;9;77;91;73
CRATEUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;899;765;85%;30%;18%;53%;63%;62;71;37;69;81;62;73;64;71;56;55;53;50;71;51;59;75;72
CRATO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;323;188;58%;28%;20%;52%;62%;68;60;52;116;76;61;81;66;65;44;57;56;51;62;57;52;83;59
CROATA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;255;244;96%;13%;14%;70%;76%;80;78;61;104;86;77;85;83;84;66;74;67;61;83;57;70;87;82
ERERE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;100;22;22%;18%;32%;50%;62%;45;73;27;73;91;64;82;50;75;;59;57;41;68;59;50;73;73
EUSEBIO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;1141;1031;90%;22%;23%;54%;66%;65;77;47;77;83;56;77;67;74;50;59;59;51;72;53;58;77;76
FARIAS BRITO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;18;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
FORQUILHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;320;289;90%;10%;6%;84%;83%;80;82;78;89;89;87;87;87;87;;79;79;75;87;74;79;88;87
FORTALEZA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;19462;172;1%;36%;17%;47%;56%;69;55;43;203;77;60;68;60;69;39;58;43;38;53;53;51;60;65
FORTIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;246;228;93%;25%;24%;50%;62%;75;68;47;187;82;68;75;70;77;47;56;50;50;57;67;50;73;48
FRECHEIRINHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;281;252;90%;21%;13%;60%;70%;74;79;59;157;80;70;82;74;78;72;63;67;66;76;54;59;79;71
GRACA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;19;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
GRANJA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;869;798;92%;10%;8%;82%;80%;81;86;71;85;90;84;83;85;84;;78;75;61;88;59;76;87;87
GRANJEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;74;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
