Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%);H 16 (%);H 17 (%);H 18 (%);H 19 (%);H 20 (%);H 21 (%)
ACARAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;211;205;97%;9%;19%;72%;68%;89;63;62;68;66;63;72;63;65;70;74;53;;75;;73;70;73;43;82;59
ACARAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;832;410;49%;10%;20%;71%;69%;87;65;59;63;73;72;64;60;68;72;69;58;0;82;100;74;65;72;52;82;67
ACOPIARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;45;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
ALCANTARAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;187;165;88%;1%;4%;95%;90%;95;90;85;89;95;90;93;83;88;91;95;81;;98;;88;88;92;86;95;86
ALTANEIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;11;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
ALTO SANTO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;82;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
ANTONINA DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;79;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
AQUIRAZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;986;969;98%;9%;16%;76%;71%;87;66;59;70;71;63;73;67;62;73;74;57;;82;;75;73;78;48;83;68
ARACATI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;907;770;85%;8%;17%;75%;70%;90;64;55;67;75;67;71;68;66;70;68;54;;79;;73;70;76;50;81;67
ARACOIABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;344;316;92%;15%;26%;59%;62%;80;56;53;58;67;57;61;57;57;66;57;48;;72;;66;64;70;39;77;61
ARARENDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;142;129;91%;0%;0%;100%;94%;90;98;96;87;95;97;97;81;90;97;95;98;;95;;93;94;96;100;89;97
ARARIPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;315;275;87%;6%;16%;77%;68%;84;83;69;55;71;;77;66;69;;78;57;72;84;73;69;54;78;49;78;59
ARATUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;184;164;89%;11%;16%;73%;67%;87;71;62;65;63;65;69;62;56;68;68;48;78;80;76;74;62;76;34;78;65
ARNEIROZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;8;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
ASSARE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;203;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
AURORA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;257;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
BARREIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;280;256;91%;18%;15%;67%;69%;79;72;70;59;66;59;69;66;64;65;72;;80;64;;77;62;75;;75;
BARRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;263;70;27%;29%;17%;54%;57%;70;60;56;57;44;59;66;54;50;59;66;30;81;70;;64;53;60;24;60;44
BARROQUINHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;245;227;93%;12%;15%;73%;67%;81;71;72;55;72;;76;64;71;;73;61;77;84;75;58;55;67;40;82;65
BATURITE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;395;366;93%;7%;21%;72%;67%;87;57;45;64;72;60;64;62;51;72;68;52;50;83;100;71;70;69;67;78;67
BELA CRUZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;310;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
BOA VIAGEM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;10;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
BREJO SANTO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;543;510;94%;7%;13%;80%;73%;88;79;60;71;74;69;77;69;73;75;78;62;85;82;82;77;72;81;41;81;71
CAMOCIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;888;765;86%;9%;15%;75%;70%;85;66;64;67;69;66;73;65;58;74;67;54;;84;;70;71;78;62;81;69
CAMPOS SALES;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;41;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
CANINDE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;866;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
CAPISTRANO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;197;8;4%;25%;38%;38%;52%;75;25;63;50;63;63;38;63;50;56;50;13;;50;;56;50;63;38;75;38
CARIRIACU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;184;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
CARIUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;184;179;97%;2%;13%;85%;76%;94;70;65;61;79;;90;78;82;;84;70;84;74;88;78;68;80;61;88;74
