Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%)
ACARAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;211;205;97%;21%;27%;52%;65%;69;78;83;84;50;56;69;65;61;85;70;76;40;27
ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;832;406;49%;20%;25%;55%;66%;71;81;81;83;46;63;68;66;68;87;70;65;39;36
ACOPIARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;45;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
ALCANTARAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;187;165;88%;2%;2%;96%;92%;94;96;96;95;90;91;95;91;92;96;88;94;87;87
ALTANEIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;11;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
ALTO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;82;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
ANTONINA DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;79;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
AQUIRAZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;986;970;98%;18%;25%;56%;67%;73;83;81;89;51;63;69;70;69;84;68;59;45;34
ARACATI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;907;772;85%;16%;22%;62%;69%;75;83;83;89;56;60;77;69;70;87;76;69;40;33
ARACOIABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;344;312;91%;29%;26%;46%;62%;63;75;76;83;39;58;63;59;63;78;65;60;42;43
ARARENDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;142;127;89%;0%;1%;99%;89%;93;89;93;92;94;95;99;64;99;98;93;98;61;97
ARARIPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;315;266;84%;18%;17%;63%;63%;83;80;;85;51;40;73;61;66;86;91;71;43;38
ARATUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;184;163;89%;17%;21%;61%;65%;81;77;193;85;51;54;70;68;69;81;70;67;37;34
ARNEIROZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;8;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
ASSARE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;203;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
AURORA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;257;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
BARREIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;280;236;84%;20%;18%;55%;64%;82;77;;82;47;54;71;62;62;82;60;64;39;54
BARRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;263;70;27%;34%;20%;46%;54%;64;66;180;66;52;53;49;57;48;74;52;68;35;37
BARROQUINHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;245;228;93%;22%;22%;53%;61%;79;76;;83;51;56;72;62;68;89;91;64;43;35
BATURITE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;395;359;91%;28%;23%;48%;56%;82;72;17300;79;41;36;67;56;57;86;80;60;38;31
BELA CRUZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;310;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
BOA VIAGEM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;10;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
