Rede;Etapa;Componente Curricular;Código do Município;Escola;Previstos;Avaliados;Avaliados (%);Proficiência Média;Não alfabetizado;Alfabetização incompleta;Intermediário;Suficiente;Desejável;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%)
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;ALOISIO BERNARDO DE CASTRO EMEF;30;32;107;222;0%;0%;0%;3%;97%;100;-;100;96;97;44;93;85
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;ANTONIO DE BRITO LIMA EMEF;19;20;105;241;0%;0%;0%;0%;100%;97;-;100;90;95;80;94;100
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;CENTRO DE EDUCACAO E CIDADANIA MANUEL ASSUNCAO PIRES;34;35;103;249;0%;0%;0%;0%;100%;99;-;97;77;96;97;96;95
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;CENTRO DE EDUCACAO E CIDADANIA MARIA DE CASTRO BERNARDO;52;51;98;216;0%;0%;2%;8%;90%;92;100;96;90;80;88;67;84
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;CLARENCIO CRISOSTOMO DE FREITAS EMEF;15;15;100;243;0%;0%;0%;0%;100%;100;100;100;92;96;83;93;100
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;DIONISIA GUERRA EMEF;30;30;100;247;0%;0%;0%;0%;100%;96;100;100;92;100;82;94;93
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;FERDINANDO TANSI CENTRO EDUCACIONAL MUNICIPAL;31;30;97;218;0%;0%;0%;0%;100%;98;93;97;98;90;90;72;78
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;FRANCISCA MONTEIRO DA SILVA EMEF;31;32;103;231;0%;0%;0%;0%;100%;97;-;97;92;88;78;91;91
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;FRANCISCO DA SILVA SAMPAIO EMEF;18;19;106;262;0%;0%;0%;0%;100%;96;95;95;96;100;97;100;100
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;FRANCISCO GOMES FARIAS EMEF CEL;28;28;100;244;0%;0%;0%;0%;100%;98;-;100;98;94;93;98;82
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;GUILHERME JANJA EMEF;57;58;102;209;0%;0%;3%;0%;97%;96;100;98;81;89;70;80;79
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;HENRIQUE GONCALVES DA JUSTA FILHO EMEF;29;29;100;173;0%;0%;0%;28%;72%;97;79;91;69;72;60;36;54
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;JARBAS PASSARINHO MIN EMEF;12;12;100;198;0%;0%;0%;0%;100%;92;-;100;92;72;75;83;71
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;JOAQUIM DE SOUSA TAVARES EMEF;4;3;75;150;0%;0%;0%;33%;67%;75;-;100;33;100;33;42;100
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;JOSE ALMIR DA SILVA EMEF;21;22;105;238;0%;0%;0%;0%;100%;98;86;100;93;89;91;93;98
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;JOSE CAMARA DE ALMEIDA EMEF;24;24;100;268;0%;0%;0%;0%;100%;100;-;-;98;98;98;98;100
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;JOSE FERREIRA DA COSTA EMEF;19;20;105;198;0%;0%;5%;5%;90%;85;-;90;68;75;58;78;95
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;JOSE ISAAC SARAIVA DA CUNHA EMEF;22;21;95;276;0%;0%;0%;0%;100%;100;-;98;100;100;98;100;100
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;JOSE RAIMUNDO DA COSTA EMEF;19;19;100;262;0%;0%;0%;0%;100%;100;-;100;95;97;100;92;100
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;JOSE RODRIGUES MONTEIRO EMEF;58;61;105;267;0%;0%;0%;0%;100%;100;100;100;100;99;99;99;98
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;JUSCELINO KUBITSCHEK EMEF;27;28;104;256;0%;0%;0%;0%;100%;100;100;100;99;88;98;96;100
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;JUVENAL PEREIRA FACANHA EMEF;20;20;100;257;0%;0%;0%;0%;100%;100;-;100;99;97;78;93;98
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;LAGOA DE CIMA EMEF;26;26;100;217;0%;0%;4%;4%;92%;94;-;92;83;96;77;81;71
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;LAGOA DO MATO DE SERPA EMEF;26;26;100;262;0%;0%;0%;0%;100%;100;-;100;96;96;98;100;100
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;LAIS SIDRIM TARGINO EMEF;64;64;100;227;0%;0%;0%;2%;98%;94;100;97;94;91;73;88;85
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;LUIZ EDUARDO STUDART GOMES EMEF;12;12;100;190;0%;0%;0%;17%;83%;89;83;100;67;67;71;67;75
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;MARIA FACANHA DE SA EMEF;13;14;108;170;0%;0%;0%;29%;71%;96;-;100;62;64;32;54;52
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;MARIA MARGARIDA RAMOS COELHO EMEF;89;85;96;194;0%;1%;4%;6%;89%;95;88;94;79;77;63;66;71
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;PLACIDO CASTELO EMEF;62;63;102;264;0%;0%;0%;0%;100%;100;100;100;98;99;95;97;99
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;RAIMUNDA DE FREITAS FACANHA CEI;66;63;95;198;0%;0%;3%;3%;94%;96;-;87;74;89;50;76;73
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2301000 ;RAIMUNDA FERREIRA DA SILVA EMEF;31;30;97;208;0%;0%;0%;3%;97%;100;-;98;100;88;85;82;70
