Município,Componente Curricular,Etapa,Previstos,Avaliados,% Participação,Defasagem,Aprendizado intermediário,Aprendizado adequado,Acerto Total,H 01 (%),H 02 (%),H 03 (%),H 04 (%),H 06 (%),H 07 (%),H 08 (%),H 09 (%),H 10 (%),Ciclos,Ano,Componente,H 45 (%),H 46 (%),H 47 (%),H 49 (%),H 50 (%),H 51 (%),H 52 (%),H 05 (%),H 11 (%),H 48 (%),H 53 (%),H 54 (%),H 55 (%),H 56 (%),H 57 (%),H 58 (%),H 59 (%),H 61 (%),H 62 (%),H 12 (%),H 14 (%),H 17 (%),H 19 (%),H 20 (%),H 21 (%),H 22 (%),H 26 (%),H 29 (%),H 60 (%),H 63 (%),H 64 (%),H 65 (%),H 66 (%),H 67 (%),H 68 (%),H 69 (%),H 71 (%),H 76 (%),H 77 (%),H 23 (%),H 24 (%),H 25 (%),H 27 (%),H 28 (%),H 30 (%),H 31 (%),H 36 (%),H 38 (%),H 70 (%),H 72 (%),H 73 (%),H 74 (%),H 75 (%),H 78 (%),H 80 (%),H 81 (%),H 82 (%),H 83 (%),H 85 (%),H 32 (%),H 33 (%),H 34 (%),H 35 (%),H 37 (%),H 39 (%),H 40 (%),H 41 (%),H 42 (%),H 43 (%),H 44 (%),H 79 (%),H 84 (%),H 86 (%),H 87 (%),H 88 (%),H 90 (%),H 91 (%),H 92 (%),H 93 (%),H 13 (%),H 16 (%),H 18 (%),H 15 (%),H 89 (%),H 94 (%),H 95 (%),H 96 (%),H 97 (%),H 98 (%)
ABAIARA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,116,116,100%,19%,31%,50%,73%,92.0,87.0,65.0,49.0,45.0,65.0,81.0,77.0,86.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACARAPE,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,203,157,77%,26%,35%,39%,64%,89.0,89.0,52.0,42.0,46.0,52.0,65.0,78.0,83.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACARAU,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,945,864,91%,27%,32%,42%,65%,93.0,88.0,64.0,48.0,46.0,52.0,70.0,80.0,71.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOPIARA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,353,49,14%,53%,35%,12%,54%,86.0,76.0,53.0,37.0,37.0,41.0,35.0,46.0,70.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIUABA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,120,0,0%,0%,0%,0%,0%,,,,,,,,,,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALCANTARAS,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,173,145,84%,22%,26%,51%,76%,94.0,93.0,78.0,58.0,46.0,64.0,84.0,79.0,69.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTO SANTO,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,192,182,95%,31%,38%,31%,64%,91.0,85.0,67.0,31.0,47.0,57.0,62.0,69.0,58.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTONINA DO NORTE,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,79,77,97%,29%,40%,31%,64%,90.0,59.0,58.0,60.0,47.0,51.0,71.0,65.0,83.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQUIRAZ,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,1238,1052,85%,28%,25%,47%,69%,91.0,83.0,69.0,53.0,50.0,63.0,71.0,76.0,69.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARACATI,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,883,735,83%,27%,27%,46%,69%,91.0,85.0,66.0,53.0,53.0,66.0,68.0,71.0,68.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARACOIABA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,330,292,88%,44%,22%,34%,63%,81.0,75.0,66.0,37.0,45.0,57.0,65.0,65.0,67.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARARENDA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,149,142,95%,0%,36%,64%,78%,73.0,74.0,82.0,83.0,70.0,74.0,78.0,85.0,81.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARARIPE,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,369,307,83%,43%,24%,33%,63%,87.0,83.0,57.0,41.0,47.0,57.0,56.0,65.0,69.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARATUBA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,207,164,79%,16%,24%,60%,73%,91.0,85.0,76.0,58.0,60.0,70.0,71.0,80.0,81.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARNEIROZ,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,92,78,85%,26%,28%,46%,66%,90.0,83.0,66.0,57.0,53.0,45.0,59.0,73.0,78.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSARE,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,344,275,80%,36%,30%,34%,59%,87.0,69.0,51.0,41.0,39.0,47.0,57.0,65.0,87.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AURORA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,228,0,0%,0%,0%,0%,0%,,,,,,,,,,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAIXIO,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,87,63,72%,0%,14%,86%,89%,93.0,77.0,91.0,83.0,90.0,95.0,90.0,88.0,89.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANABUIU,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,257,160,62%,32%,31%,38%,64%,87.0,71.0,61.0,36.0,50.0,60.0,57.0,78.0,79.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARBALHA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,1,0,0%,0%,0%,0%,0%,,,,,,,,,,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARREIRA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,301,282,94%,41%,32%,28%,61%,90.0,86.0,58.0,40.0,42.0,57.0,57.0,65.0,55.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARRO,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,244,196,80%,54%,28%,18%,54%,86.0,83.0,48.0,28.0,27.0,44.0,49.0,58.0,71.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARROQUINHA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,267,237,89%,31%,32%,37%,65%,88.0,88.0,61.0,39.0,48.0,51.0,63.0,74.0,72.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATURITE,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,353,309,88%,28%,38%,34%,67%,93.0,86.0,62.0,38.0,48.0,58.0,60.0,70.0,77.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELA CRUZ,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,297,0,0%,0%,0%,0%,0%,,,,,,,,,,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOA VIAGEM,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,868,558,64%,35%,27%,38%,62%,90.0,85.0,61.0,46.0,44.0,51.0,63.0,69.0,69.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
