Etapa,Componente Curricular,Descritor,Descrição da Habilidade ,Ciclos,Habilidades
1 ANO,LÍNGUA PORTUGUESA,1EF01_P,Distinguir letras do alfabeto de desenhos e/ou outros sinais gráficos.,1,H 01
1 ANO,LÍNGUA PORTUGUESA,1EF02_P,Reconhecer letras do alfabeto.,1,H 02
1 ANO,LÍNGUA PORTUGUESA,1EF03_P,Reconhecer as direções da escrita.,1,H 03
1 ANO,LÍNGUA PORTUGUESA,1EF04_P,Identificar a correta segmentação das palavras na escrita.,1,H 04
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,1,H 06
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (incial, medial, final) de palavras.",1,H 07
1 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,1,H 08
1 ANO,LÍNGUA PORTUGUESA,1EF09_P,Ler palavras formadas por sílabas não canônicas.,1,H 09
1 ANO,LÍNGUA PORTUGUESA,1EF10_P,"Ler frases (ordem direta, estrutura canônica: sujeito, verbo, objeto - um complemento).",1,H 10
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,1,
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (inicial, medial, final) de palavras.",1,
1 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,1,
1 ANO,LÍNGUA PORTUGUESA,1EF09_P,Ler palavras formadas por sílabas não canônicas.,1,
1 ANO,LÍNGUA PORTUGUESA,1EF10_P,"Ler frases (ordem direta, estrutura canônica: sujeito, verbo, objeto - um complemento).",1,
1 ANO,LÍNGUA PORTUGUESA,1EF11_P,"Localizar informações explícitas em textos, recuperadas por meio de uma repetição.",1,
1 ANO,LÍNGUA PORTUGUESA,1EF12_P,Reconhecer o assunto de um texto ouvido.,1,
1 ANO,LÍNGUA PORTUGUESA,1EF13_P,Inferir informação em texto que articula linguagem verbal e não verbal.,1,
1 ANO,LÍNGUA PORTUGUESA,1EF05_P,Reconhecer o local de inserção de uma palavra na ordem alfabética.,1,
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,1,
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (inicial, medial, final) de palavras.",1,
1 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,1,
1 ANO,LÍNGUA PORTUGUESA,1EF09_P,Ler palavras formadas por sílabas não canônicas.,1,
1 ANO,LÍNGUA PORTUGUESA,1EF10_P,"Ler frases (ordem direta, estrutura canônica: sujeito, verbo, objeto - um complemento).",1,
1 ANO,LÍNGUA PORTUGUESA,1EF11_P,"Localizar informações explícitas em textos, recuperadas por meio de uma repetição.",1,
1 ANO,LÍNGUA PORTUGUESA,1EF12_P,Reconhecer o assunto de um texto ouvido.,1,
1 ANO,LÍNGUA PORTUGUESA,1EF13_P,Inferir informação em texto que articula linguagem verbal e não verbal.,1,
1 ANO,LÍNGUA PORTUGUESA,1EF14_P,Reconhecer o gênero de um texto que circula no campo de atuação da vida cotidiana.,1,
