Etapa,Componente Curricular,Descritor,Descrição da Habilidade ,Ciclos,Habilidades,Município,Previstos,Avaliados,Participação,Defasagem,Aprendizado intermediário,Aprendizado adequado,Acerto Total,Percentual de acertos
1 ANO,LÍNGUA PORTUGUESA,1EF01_P,Distinguir letras do alfabeto de desenhos e/ou outros sinais gráficos.,1,H 01,AQUIRAZ,1238.0,1052.0,85,28,25,47,69,91.0
1 ANO,LÍNGUA PORTUGUESA,1EF01_P,Distinguir letras do alfabeto de desenhos e/ou outros sinais gráficos.,1,H 01,EUSEBIO,1008.0,889.0,88,14,18,68,76,94.0
1 ANO,LÍNGUA PORTUGUESA,1EF01_P,Distinguir letras do alfabeto de desenhos e/ou outros sinais gráficos.,1,H 01,GUAIUBA,497.0,306.0,62,45,28,26,57,78.0
1 ANO,LÍNGUA PORTUGUESA,1EF01_P,Distinguir letras do alfabeto de desenhos e/ou outros sinais gráficos.,1,H 01,ITAITINGA,423.0,0.0,0,0,0,0,0,
1 ANO,LÍNGUA PORTUGUESA,1EF01_P,Distinguir letras do alfabeto de desenhos e/ou outros sinais gráficos.,1,H 01,MARACANAU,3120.0,4.0,0,100,0,0,18,0.0
1 ANO,LÍNGUA PORTUGUESA,1EF01_P,Distinguir letras do alfabeto de desenhos e/ou outros sinais gráficos.,1,H 01,MARANGUAPE,1118.0,936.0,84,31,32,37,66,91.0
1 ANO,LÍNGUA PORTUGUESA,1EF01_P,Distinguir letras do alfabeto de desenhos e/ou outros sinais gráficos.,1,H 01,PACATUBA,860.0,738.0,86,39,30,31,67,92.0
1 ANO,LÍNGUA PORTUGUESA,1EF02_P,Reconhecer letras do alfabeto.,1,H 02,AQUIRAZ,1238.0,1052.0,85,28,25,47,69,83.0
1 ANO,LÍNGUA PORTUGUESA,1EF02_P,Reconhecer letras do alfabeto.,1,H 02,EUSEBIO,1008.0,889.0,88,14,18,68,76,89.0
1 ANO,LÍNGUA PORTUGUESA,1EF02_P,Reconhecer letras do alfabeto.,1,H 02,GUAIUBA,497.0,306.0,62,45,28,26,57,76.0
1 ANO,LÍNGUA PORTUGUESA,1EF02_P,Reconhecer letras do alfabeto.,1,H 02,ITAITINGA,423.0,0.0,0,0,0,0,0,
1 ANO,LÍNGUA PORTUGUESA,1EF02_P,Reconhecer letras do alfabeto.,1,H 02,MARACANAU,3120.0,4.0,0,100,0,0,18,17.0
1 ANO,LÍNGUA PORTUGUESA,1EF02_P,Reconhecer letras do alfabeto.,1,H 02,MARANGUAPE,1118.0,936.0,84,31,32,37,66,82.0
1 ANO,LÍNGUA PORTUGUESA,1EF02_P,Reconhecer letras do alfabeto.,1,H 02,PACATUBA,860.0,738.0,86,39,30,31,67,87.0
1 ANO,LÍNGUA PORTUGUESA,1EF03_P,Reconhecer as direções da escrita.,1,H 03,AQUIRAZ,1238.0,1052.0,85,28,25,47,69,69.0
1 ANO,LÍNGUA PORTUGUESA,1EF03_P,Reconhecer as direções da escrita.,1,H 03,EUSEBIO,1008.0,889.0,88,14,18,68,76,77.0
1 ANO,LÍNGUA PORTUGUESA,1EF03_P,Reconhecer as direções da escrita.,1,H 03,GUAIUBA,497.0,306.0,62,45,28,26,57,53.0
1 ANO,LÍNGUA PORTUGUESA,1EF03_P,Reconhecer as direções da escrita.,1,H 03,ITAITINGA,423.0,0.0,0,0,0,0,0,
1 ANO,LÍNGUA PORTUGUESA,1EF03_P,Reconhecer as direções da escrita.,1,H 03,MARACANAU,3120.0,4.0,0,100,0,0,18,9.0
